developer_id,account_age_days,total_commits,commits_last_90d,total_repos,pull_requests_merged,issues_closed,stars_received,languages_used,language_entropy,primary_language,framework_count,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,commit_trend_slope,activity_decay_lambda,years_active,has_bio,has_company,has_location,bio_length,avg_repo_size_kb,avg_repo_description_len,developer_dna_score,developer_tier
mnelson,133,38,3,4,6,1,34,Shell,0.0,Shell,0,0.131,0.0,0.0,3,0.688,1.05,-4.1591,0.2158,0.36,0,0,1,0,44,33,0.0679,0
dev_9662,1391,270,32,5,6,5,1943,"Scala,Rust,C++,Dart,TypeScript",2.3219,TypeScript,1,0.002,0.0,0.147,3,0.01,0.83,-4.5519,0.3121,3.81,0,0,0,0,209,21,0.091,0
jessica80,2230,494,96,144,1084,42,689,"Scala,PHP,Rust,C++,Julia,C#,Go,Swift",3.0,PHP,8,0.585,0.376,0.555,42,0.71,2.79,3.0631,-0.1366,6.11,0,1,1,0,1398,38,0.4159,1
dev_8766,2875,1216,247,17,30,24,418,"CSS,Ruby,Julia,Java,C,Kotlin,SQL,TypeScript,Go",3.1699,Java,14,0.465,0.69,0.411,57,0.762,2.68,4.0711,-0.0289,7.87,0,1,1,0,496,98,0.4782,2
usilva,1316,23,1,5,1,1,8,CSS,0.0,CSS,0,0.036,0.0,0.114,3,0.319,2.48,0.8676,0.1672,3.6,0,0,0,0,5,0,0.0328,0
desiree21,2044,3311,421,6,136,171,22,"HTML,PHP,C++,R,Ruby,Julia,C,Python,Elixir,Haskell,Go,Swift",3.585,C++,11,0.644,0.72,1.0,61,0.716,2.55,1.2587,0.0132,5.6,1,1,1,43,474,84,0.4935,2
crystal57,5745,2258,300,270,95,125,2801,"CSS,Scala,C++,Rust,Ruby,Julia,JavaScript,Dart,Python,C,SQL,TypeScript,Java",3.7004,CSS,18,0.721,0.463,0.317,99,0.92,3.35,6.5409,-0.2358,15.73,1,1,1,20,2722,108,0.5517,2
alexander19,1951,13313,1150,49,44,31,262,"CSS,Scala,HTML,R,C++,Go,C#,C,Python,Elixir,TypeScript,Java,Swift",3.7004,Elixir,6,1.0,0.61,0.526,45,0.344,3.66,4.9033,-0.2079,5.34,0,1,0,0,9611,68,0.4779,2
lindsey36,129,40,5,50,17,10,2,"R,Go,Java,Dart,C#,Kotlin,Shell,JavaScript,Swift",3.1699,Dart,2,0.284,0.137,0.181,18,0.214,1.03,-0.7997,0.094,0.35,0,0,1,0,33,68,0.1455,0
dev_3214,3972,743,62,60,78,144,9720,"CSS,Scala,Swift,PHP,Rust,C++,R,Dart,Kotlin,Python,SQL,TypeScript,Shell,Java,Elixir",3.9069,Rust,15,0.639,0.627,0.822,50,0.937,3.24,4.5104,-0.0733,10.87,1,1,1,140,9994,54,0.573,2
dev_3328,1177,818,188,7,31,11,5,Dart,0.0,Dart,5,0.061,0.623,0.0,59,0.455,1.65,-1.432,0.1348,3.22,0,0,0,0,97,37,0.1348,0
michael52,2833,367,23,20,25,25,74,"Haskell,TypeScript,Dart,Swift",2.0,TypeScript,7,0.299,0.478,0.0,60,0.624,2.41,5.0763,0.1779,7.76,1,0,0,89,50,30,0.2756,1
kayla87,4306,5035,250,38,35,7,1843,"CSS,Scala,C++,Ruby,C#,Kotlin,C,Python,Haskell",3.1699,CSS,18,0.975,0.719,0.463,79,0.606,3.28,13.2135,-0.1158,11.79,1,1,0,92,1550,133,0.5063,2
ygonzalez,356,567,92,4,8,5,103,"CSS,PHP,Ruby,Dart,C,TypeScript,Shell,Elixir",3.0,Shell,7,0.194,0.458,0.494,50,0.747,2.76,3.2443,0.0285,0.97,0,0,0,0,272,55,0.3242,1
dev_6391,1261,22,0,13,1,0,6,Shell,0.0,Shell,0,0.236,0.0,0.324,3,0.23,0.79,2.9331,0.2044,3.45,0,0,0,0,33,39,0.0931,0
robert57,2316,443,50,193,484,235,60,"R,Go,C++,Rust,Python,C,Java,Elixir",3.0,Go,5,0.448,0.294,0.326,52,0.664,3.73,0.0838,0.0577,6.34,0,0,1,0,1222,29,0.3542,1
butlersherry,1485,393,31,15,14,5,1022,"CSS,Scala,R,Haskell,PHP,HTML,Julia,Dart,SQL,Shell",3.3219,R,5,0.362,0.517,0.276,55,0.583,1.25,7.1518,0.1779,4.07,0,0,1,0,390,62,0.3721,1
robert70,4662,4470,903,800,194,181,771,"CSS,Scala,HTML,PHP,Rust,C++,Lua,Ruby,JavaScript,Java,C,TypeScript,Shell,Go,Elixir",3.9069,Rust,18,0.809,0.655,0.963,86,1.0,3.88,4.7703,-0.0933,12.76,1,1,1,26,5212,121,0.6431,2
dev_9047,2589,361,53,77,48,39,1796,"Scala,Lua,R,HTML,JavaScript,Python,Haskell,Go,Elixir",3.1699,JavaScript,10,0.376,0.715,0.671,94,0.571,2.92,4.4566,0.0944,7.09,0,1,1,0,1430,72,0.401,2
dev_541,2594,8056,64,17,76,78,7442,"Scala,Lua,HTML,R,Rust,Ruby,Julia,Python,Go,Swift",3.3219,Go,9,1.0,0.323,0.133,71,0.596,2.36,6.8996,-0.0682,7.1,1,1,1,42,3613,95,0.4447,2
danarivers,3056,3630,1089,40,2494,1872,2131,"Scala,Lua,R,CSS,C++,Dart,C#,Python,C,SQL,TypeScript,Shell,Elixir",3.7004,SQL,15,1.0,0.861,0.874,98,0.838,3.97,5.6328,-0.0169,8.37,1,1,1,117,2702,46,0.6436,2
harrislaura,30,104,9,1,1,1,273,"CSS,Julia,JavaScript,Haskell,Go,Swift",2.585,Julia,2,0.456,0.318,0.052,62,0.662,1.84,1.2688,0.0795,0.1,1,0,1,73,64,11,0.2576,1
browndawn,4456,811,113,268,378,315,166,"Lua,HTML,PHP,Go,C++,Ruby,C#,Kotlin,TypeScript,Shell,Java",3.4594,Go,11,0.99,0.737,0.805,50,0.963,3.06,10.7981,-0.1314,12.2,1,0,1,89,431,57,0.5558,2
michael85,4165,18453,5321,142,200,174,1433,"Julia,Java,Dart,C#,Kotlin,SQL,TypeScript,Go",3.0,SQL,11,0.424,0.756,0.784,57,1.0,2.3,0.223,-0.0821,11.4,1,1,1,20,869,111,0.4907,2
dev_8648,2893,337,18,103,134,56,146,"Scala,HTML,PHP,Python,Shell,Java,Elixir",2.8074,HTML,7,0.392,0.228,0.356,61,0.63,1.93,4.2623,-0.2223,7.92,1,0,0,49,139,14,0.3102,1
matthew42,3824,4674,439,37,1277,643,57,"Lua,HTML,Haskell,Rust,R,Ruby,JavaScript,SQL,Shell,Go,Swift",3.4594,Rust,18,1.0,0.674,0.645,67,1.0,3.7,7.1691,-0.0482,10.47,1,1,1,107,2069,85,0.595,2
michaeladams,1110,31,4,14,0,0,56,"SQL,Ruby,Dart,C#,Kotlin,Haskell,Swift",2.8074,C#,0,0.919,0.221,0.486,11,0.555,1.04,-1.5229,0.2641,3.04,1,0,1,135,267,49,0.2768,0
tracey35,3840,9186,1685,30,1512,509,467,"R,PHP,C++,Ruby,Julia,Java,Python,Kotlin,Haskell,TypeScript,Shell,Go,Swift",3.7004,Haskell,11,0.919,0.977,0.76,71,0.349,2.48,8.1881,-0.0479,10.51,1,1,1,94,6777,70,0.5766,2
dev_8033,30,4,1,3,0,0,9,Go,0.0,Go,3,0.57,0.0,0.0,14,0.523,0.8,-1.6982,0.0799,0.1,1,0,1,57,5,83,0.1375,0
tiffany2,1136,148,15,10,17,13,9,"SQL,HTML",1.0,SQL,1,0.634,0.111,0.0,36,0.749,2.3,-1.5147,-0.0485,3.11,0,0,0,0,28,50,0.2642,0
justin15,3792,10512,2046,76,75,62,951,"HTML,PHP,C++,R,Ruby,Java,Dart,C,Python,SQL,JavaScript",3.4594,C++,15,0.913,0.583,0.708,73,0.423,3.89,3.7038,-0.1164,10.38,1,1,1,23,558,100,0.5036,2
dev_7125,2372,35000,2495,242,146,85,1090,"CSS,Lua,HTML,PHP,C++,Rust,Ruby,Java,Dart,C#,Kotlin,Haskell,TypeScript,JavaScript,Elixir",3.9069,Kotlin,18,0.558,0.821,1.0,44,0.864,3.47,7.2465,-0.216,6.49,1,1,1,123,9151,122,0.7191,2
dev_1430,2371,10,0,3,1,0,2,"Lua,JavaScript",1.0,Lua,0,0.421,0.337,0.13,26,0.782,0.5,-4.9881,0.2206,6.49,0,0,0,0,290,22,0.1465,0
richard83,30,9,0,19,0,0,1,C,0.0,C,3,0.21,0.328,0.0,17,0.162,1.38,0.0231,0.2344,0.1,0,0,0,0,11,6,0.0894,0
parkstina,2453,295,36,13,12,9,18,"R,Ruby,Julia,Dart,TypeScript",2.3219,Dart,2,0.687,0.375,0.372,20,0.366,0.93,-0.6799,-0.0005,6.72,0,0,0,0,113,27,0.2621,0
christopher89,2624,497,56,64,54,59,387,"CSS,C++,Rust,TypeScript,Go,Elixir",2.585,CSS,10,0.124,0.737,0.709,52,0.847,2.28,1.865,-0.0669,7.18,1,0,1,83,790,67,0.3717,2
heather95,372,5,0,15,5,10,3,Kotlin,0.0,Kotlin,0,0.473,0.0,0.0,37,0.232,1.85,1.1909,0.1644,1.02,0,0,0,0,31,43,0.0708,1
tanner67,30,132,10,1,78,6,13,"Lua,Rust,Dart,Python,TypeScript,Go",2.585,Rust,0,0.0,0.084,0.0,3,0.432,1.69,3.3861,0.0234,0.1,0,1,0,0,53,54,0.2539,0
richard37,2195,204,30,51,78,142,121,"Scala,CSS,R,Haskell,Rust,C,SQL,TypeScript,Shell",3.1699,Haskell,10,0.582,0.355,0.797,36,0.333,3.18,7.1624,-0.0794,6.01,1,1,0,94,260,41,0.452,2
timothyray,704,383,28,67,209,94,258,"Scala,Lua,PHP,Rust,Java,C#,Kotlin,SQL,TypeScript,Shell,JavaScript",3.4594,Kotlin,13,0.809,0.594,0.258,54,0.698,2.33,0.8253,-0.1222,1.93,0,0,1,0,773,61,0.4189,1
tiffany57,1246,66,8,9,11,3,100,"Haskell,Swift",1.0,Swift,4,0.454,0.0,0.239,25,0.339,1.31,-1.0726,0.2205,3.41,0,0,0,0,7,36,0.1606,0
dev_4881,3201,562,5,199,1230,524,1937,"Go,Rust,Ruby,JavaScript,Dart,C#,Python,C,Haskell,Shell,Java,Elixir",3.585,Shell,13,1.0,0.559,1.0,66,0.852,2.49,8.2235,-0.0163,8.76,1,0,1,49,3958,132,0.5192,2
stephanie44,750,47,14,1,22,22,3,"HTML,R,Rust,C++,Dart,SQL,Shell,Go",3.0,Rust,9,0.23,0.527,0.134,34,0.25,3.39,-0.2748,0.0945,2.05,1,0,0,27,1026,85,0.3268,1
jose20,4347,973,11,162,34,46,1002,"HTML,Rust",1.0,HTML,12,0.607,0.355,0.343,53,0.744,1.81,4.2578,0.0047,11.9,0,1,1,0,451,74,0.3296,2
theresa6,1449,44,7,6,10,12,17,"R,PHP,Kotlin,SQL,Shell,Swift",2.585,Shell,9,0.465,0.28,0.436,36,0.806,1.36,1.4697,0.0595,3.97,0,0,0,0,160,73,0.3361,1
matthew46,1308,352,45,4,2,2,11,Shell,0.0,Shell,0,0.277,0.555,0.087,26,0.412,0.84,-5.6153,0.019,3.58,0,0,0,0,165,33,0.1357,0
manuel84,1769,50,7,33,2,4,121,"CSS,Lua,C++,C,JavaScript,Swift",2.585,JavaScript,3,0.399,0.233,0.196,48,0.376,2.74,9.7974,0.0301,4.84,0,0,0,0,1367,40,0.2812,1
jdavis,1033,1702,220,222,12,4,126,"Scala,Lua,HTML,CSS,Ruby,C#,Elixir,Haskell,TypeScript,Java,Swift",3.4594,TypeScript,8,0.476,0.465,0.321,60,0.43,2.17,6.5986,-0.0827,2.83,0,0,0,0,275,74,0.4126,2
dev_3050,3089,495,108,72,504,556,2145,"Scala,Ruby,Julia,JavaScript,C,Python,Shell,Java,Elixir",3.1699,Scala,5,0.836,0.696,0.894,83,0.805,3.52,3.7479,-0.188,8.46,1,1,1,72,2353,98,0.4896,2
imoore,30,29,2,10,10,6,4,TypeScript,0.0,TypeScript,2,0.326,0.193,0.25,20,0.396,1.37,2.9573,0.2729,0.1,0,0,0,0,46,14,0.1834,0
peter39,240,3308,649,41,20,7,49,"PHP,Rust,Ruby,Julia,Python,C,SQL,TypeScript,Shell,Go",3.3219,Rust,7,0.017,0.311,0.623,54,0.359,1.94,0.9545,-0.0464,0.66,0,0,1,0,1308,7,0.3642,1
dev_4937,30,81,16,28,1,0,97,Kotlin,0.0,Kotlin,4,0.642,0.381,0.0,24,0.578,0.54,1.7919,0.1955,0.1,0,1,0,0,70,44,0.1245,0
elizabeth37,397,92,2,9,4,0,11,"Python,Rust,Kotlin,Elixir",2.0,Elixir,1,0.516,0.23,0.25,40,0.257,2.02,-1.4566,0.1527,1.09,0,0,0,0,68,0,0.1934,0
dev_745,3483,3386,287,66,15,12,59,"Rust,Kotlin,Haskell,Go,Elixir",2.3219,Go,7,0.684,0.695,0.481,57,0.701,4.28,-3.3198,-0.0576,9.54,1,1,0,45,951,61,0.4557,1
lisashields,30,7,1,5,1,0,19,R,0.0,R,4,0.329,0.549,0.067,10,0.228,0.77,-8.0,0.1686,0.1,1,0,1,93,5,0,0.1005,0
courtney38,30,20,1,13,145,148,14,CSS,0.0,CSS,1,0.064,0.206,0.165,3,0.339,2.18,-1.9231,0.082,0.1,0,0,0,0,126,18,0.1396,0
dev_2124,2104,5534,778,77,152,152,408,"Scala,PHP,C++,Go,TypeScript,Shell,Java",2.8074,PHP,11,0.865,1.0,0.625,83,0.757,4.33,9.6227,-0.0406,5.76,0,0,1,0,7049,100,0.5533,1
dev_7706,2455,256,43,387,14,5,168,"Swift,Rust,Go,Dart,Kotlin,SQL,Shell,Java,Elixir",3.1699,Elixir,10,0.675,0.588,0.791,29,0.322,1.51,1.2196,0.1509,6.72,1,0,0,66,28,29,0.3062,1
dev_6966,3199,3172,366,40,100,54,1176,"Lua,R,PHP,C++,HTML,Ruby,Julia,JavaScript,SQL,Shell,Java,Elixir",3.585,Ruby,9,1.0,0.719,0.565,93,0.526,2.3,9.8775,0.0287,8.76,0,1,1,0,666,88,0.4801,2
jschmitt,1699,185,44,4,14,10,123,"Scala,C++,Julia,Haskell,Shell,Java,Elixir",2.8074,Julia,9,0.153,0.057,0.485,4,0.557,1.39,6.9105,0.0529,4.65,0,1,0,0,63,22,0.2694,1
hernandezmolly,4138,652,54,15,50,110,232,"Scala,Lua,R,Go,Ruby,Julia,JavaScript,Dart,Kotlin,SQL,Java",3.4594,Java,15,0.968,0.424,0.222,53,0.494,1.61,4.1329,-0.0107,11.33,0,1,1,0,802,43,0.4414,2
vmartinez,2798,497,49,35,55,89,24,"Scala,Lua,R,Haskell,C++,Rust,PHP,Ruby,Julia,Dart,C#,C,Python,Kotlin,SQL,TypeScript,Go,Elixir",4.1699,Go,14,0.831,0.594,0.645,70,0.822,3.34,4.5371,-0.0912,7.66,1,1,1,13,3893,90,0.455,2
xrodriguez,3364,404,77,16,75,16,13,"R,Ruby,C#,Python,C,TypeScript",2.585,Python,10,0.867,0.582,0.61,58,0.438,2.8,5.3484,0.0585,9.21,1,0,1,37,610,89,0.3937,1
michelle92,733,305,55,34,5,4,183,"CSS,PHP,Dart,Shell,JavaScript,Elixir",2.585,JavaScript,11,0.919,0.167,0.333,39,0.41,3.25,2.7215,-0.0575,2.01,0,1,1,0,127,65,0.3576,2
acollins,3039,15513,1226,800,1911,1769,225,"SQL,CSS,PHP,Go,Rust,Ruby,Julia,Dart,C,Elixir,Haskell,TypeScript,Java,Swift",3.8074,TypeScript,10,1.0,0.874,0.966,124,0.881,3.12,5.8382,-0.3,8.32,1,1,1,65,1511,93,0.6566,2
emilylee,2445,534,78,54,190,53,65,"Scala,R,PHP,Rust,Dart,Kotlin,Haskell,Java",3.0,R,5,0.48,0.416,0.693,58,0.66,3.27,2.9056,0.0013,6.69,1,1,0,31,281,0,0.3831,2
dev_8000,3207,1746,183,156,493,211,602,"CSS,Lua,Haskell,C++,PHP,Java,Dart,C#,C,Python,SQL,Shell,JavaScript,Swift",3.8074,Swift,17,0.907,0.663,0.733,85,0.477,1.87,4.1583,-0.2564,8.78,0,0,1,0,1645,132,0.5383,2
maria72,911,172,21,3,0,0,83,Java,0.0,Java,0,0.627,0.0,0.558,9,0.525,1.38,1.8908,0.0653,2.49,0,0,1,0,20,51,0.1516,0
davidevans,2971,75,20,64,79,64,357,"CSS,Lua,Rust,Dart,Python,Haskell,Elixir",2.8074,Lua,14,0.941,0.752,0.668,60,0.819,3.33,2.9927,-0.1196,8.13,1,1,0,99,208,27,0.4828,1
katherinestuart,2198,47,7,11,23,4,64,"CSS,Scala,C++,Julia,C#,Python,Kotlin,SQL,TypeScript,Go,Elixir",3.4594,Kotlin,7,0.614,0.123,0.25,36,0.459,3.17,3.8457,-0.0777,6.02,1,0,0,31,998,98,0.3411,1
paulfranklin,30,3,0,4,3,0,142,Lua,0.0,Lua,1,0.719,0.08,0.035,8,0.253,2.16,-8.0,0.3106,0.1,1,1,0,123,17,33,0.063,0
allen38,3786,3993,831,95,85,92,21892,"CSS,Lua,R,PHP,C++,HTML,Kotlin,Python,Haskell,Java",3.3219,Java,14,0.522,0.462,0.75,93,0.806,2.95,4.9523,-0.2168,10.37,1,0,1,64,901,65,0.5152,2
matthew95,683,63,1,15,2,0,113,"Scala,HTML,R,C#,C,Python",2.585,Python,0,0.0,0.343,0.0,32,0.01,1.96,-4.7998,0.2187,1.87,0,0,0,0,24,41,0.166,0
cassandra12,1570,33,8,3,6,8,113,"Scala,Lua,R,Python,Haskell,Shell,Java,Swift",3.0,Python,0,0.377,0.0,0.307,44,0.316,0.5,0.9379,0.1386,4.3,1,0,0,127,23,53,0.2487,0
mitchellerica,478,3,0,3,1,1,4,"Scala,Lua,R,Rust,Java",2.3219,Java,4,0.0,0.046,0.451,7,0.276,1.91,2.3725,0.0957,1.31,0,0,1,0,519,58,0.2136,0
dev_2519,923,67,12,1,9,1,4,"Haskell,Java",1.0,Haskell,7,0.99,0.213,0.036,24,0.489,0.97,4.3748,0.1931,2.53,0,0,0,0,49,41,0.2019,0
teresa60,613,117,6,6,7,1,5,"Go,Ruby,C#,C++",2.0,C++,4,0.17,0.091,0.0,11,0.51,1.69,0.5322,0.1638,1.68,0,0,0,0,83,31,0.1949,0
christopher58,1506,596,19,23,214,120,516,"Lua,R,Haskell,PHP,C++,Go,Julia,Dart,SQL,JavaScript,Elixir",3.4594,SQL,12,0.385,0.827,0.597,50,0.678,1.56,5.0764,-0.145,4.12,1,1,1,139,2809,48,0.5072,1
dev_6399,411,31,0,7,6,8,64,Swift,0.0,Swift,0,0.142,0.167,0.0,3,0.391,1.27,-0.938,0.0899,1.13,0,1,0,0,106,50,0.0362,0
rebecca92,2846,48,0,5,15,12,9,"CSS,Lua,R,JavaScript,Elixir",2.3219,CSS,3,0.371,0.659,0.575,10,0.631,2.47,-2.7899,0.1475,7.79,1,0,0,125,40,69,0.3106,1
patrick50,1071,226,45,9,7,0,50,"Julia,JavaScript,C,Haskell,Go",2.3219,Haskell,3,0.657,0.159,0.348,10,0.4,1.58,0.9828,0.0678,2.93,0,0,0,0,48,0,0.3022,0
dev_2417,3343,1397,235,42,29,11,33,"PHP,Julia,Dart,Haskell,TypeScript,JavaScript,Swift",2.8074,PHP,9,0.537,0.7,0.856,45,0.692,3.12,5.1682,-0.0407,9.15,1,0,1,48,156,92,0.469,2
dev_8724,2250,2186,252,22,11,10,482,"Scala,PHP,C++,Ruby,Julia,Dart,TypeScript,Elixir",3.0,Ruby,13,0.364,0.687,0.38,85,1.0,2.18,1.7255,0.0374,6.16,0,1,1,0,637,7,0.4055,2
cantrellkimberly,1030,24,4,4,7,7,19,"Scala,Swift,HTML,Elixir",2.0,Elixir,0,0.074,0.0,0.0,69,0.577,0.5,-5.4595,0.2096,2.82,1,0,0,134,23,13,0.1449,0
dev_2812,1327,106,4,22,6,5,49,"CSS,Ruby,JavaScript,Dart,SQL,Java,Swift",2.8074,Ruby,0,0.41,0.0,0.291,5,0.531,1.61,5.2859,0.1002,3.63,0,0,0,0,41,30,0.2217,0
theresa60,2482,257,7,39,74,33,1810,"CSS,Scala,R,PHP,Rust,Kotlin,C,Haskell,Shell,JavaScript,Elixir",3.4594,JavaScript,1,0.891,0.693,0.443,24,0.796,2.3,4.4553,0.1942,6.8,0,0,1,0,253,33,0.4334,1
david11,3863,33,5,62,65,22,3268,"CSS,R,PHP,C++,Rust,Go,Julia,C#,C,Kotlin,JavaScript",3.4594,Kotlin,6,0.903,0.803,0.538,60,0.698,1.24,2.8347,-0.0592,10.58,0,0,1,0,419,61,0.4724,2
michelle91,2734,1506,87,50,391,429,214,"CSS,R,Rust,C++,Julia,Dart,Kotlin,TypeScript,Shell,Go",3.3219,Rust,9,0.719,0.453,0.511,84,0.438,2.45,0.1647,-0.2027,7.49,1,1,1,30,7907,63,0.4463,2
halldaniel,1604,185,32,68,67,70,77,"Julia,JavaScript,C,Elixir,Java,Swift",2.585,Java,1,0.44,0.515,0.604,19,0.556,1.97,0.3844,0.1112,4.39,1,0,0,130,636,61,0.3075,1
mooretyler,4498,3580,36,76,102,35,288,"CSS,Lua,R,PHP,C++,Ruby,JavaScript,Dart,C,Python,SQL,TypeScript,Shell,Go,Elixir",3.9069,Python,13,0.599,0.769,0.782,65,1.0,3.18,9.4667,-0.0928,12.31,1,0,1,137,3190,87,0.541,2
dev_8416,3578,125,23,85,249,279,351,"Scala,Haskell,C++,Ruby,Julia,Python,SQL,TypeScript,Go,Swift",3.3219,SQL,6,1.0,0.418,0.485,47,0.724,2.29,3.5402,-0.1442,9.8,0,1,0,0,394,49,0.4579,2
john9,3049,365,107,16,7,10,18,Kotlin,0.0,Kotlin,7,0.165,0.468,0.597,46,0.702,3.4,4.2449,0.0919,8.35,0,1,1,0,1202,26,0.2143,1
dev_7940,2629,34,0,22,69,77,187,"Swift,Haskell,PHP,C++,Julia,JavaScript,SQL,Java,Elixir",3.1699,Julia,5,0.32,0.594,0.578,47,0.444,2.04,-2.7495,0.1542,7.2,0,0,1,0,457,55,0.2931,1
hernandezdale,590,61,6,23,53,69,56,"TypeScript,C++",1.0,C++,13,0.129,0.191,0.0,40,0.459,2.33,-5.0122,0.1885,1.62,0,0,1,0,302,43,0.1841,0
katherinecook,1111,39,1,37,13,10,246,"SQL,Ruby,CSS,Scala",2.0,Ruby,3,0.285,0.335,0.318,18,0.387,1.34,-1.6966,-0.0676,3.04,0,1,0,0,57,17,0.2599,0
miranda24,1705,149,17,29,89,118,74,"Java,PHP,Rust",1.585,PHP,8,1.0,0.568,0.538,32,0.35,2.63,-1.3823,0.0436,4.67,0,0,1,0,53,50,0.2727,1
george78,30,28,1,17,18,15,2,Shell,0.0,Shell,7,0.253,0.0,0.0,12,0.561,1.19,2.5878,0.0995,0.1,0,0,1,0,64,29,0.0936,0
robyn58,2336,198,47,25,169,4,1081,"PHP,C,Elixir,SQL,TypeScript,Java,Swift",2.8074,C,8,0.858,0.486,0.642,55,0.676,3.18,2.8585,-0.1512,6.4,0,1,1,0,968,44,0.4361,2
dev_2721,1946,57,15,19,10,10,323,"Swift,R,Rust,Haskell,Elixir",2.3219,Swift,3,0.07,0.065,0.157,42,0.393,1.22,-2.1833,0.0992,5.33,0,0,1,0,60,30,0.1437,0
