developer_id,account_age_days,total_commits,commits_last_90d,total_repos,pull_requests_merged,issues_closed,stars_received,languages_used,language_entropy,primary_language,framework_count,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,commit_trend_slope,activity_decay_lambda,years_active,has_bio,has_company,has_location,bio_length,avg_repo_size_kb,avg_repo_description_len,developer_dna_score,developer_tier,primary_language_encoded
jordan71,1430,1878.0,249,4,11.0,17.0,26.0,"Lua,Go,Ruby,Dart,TypeScript,JavaScript,Swift",2.8074,Swift,8,0.29,0.356,0.0,21,0.45,1.29,6.9423,-0.0914,3.92,1,0,1,42,1157,4,0.3526,1,22
frazierjared,1670,66.0,10,6,5.0,5.0,124.0,HTML,0.0,HTML,9,0.0,0.138,0.295,28,0.224,1.36,-1.9653,0.0764,4.57,0,0,1,0,23,53,0.1229,0,7
andrew55,3718,1364.0,145,110,305.0,477.0,262.0,"CSS,Lua,Go,JavaScript,Dart,Kotlin,C,Elixir,Python,Haskell,Shell,Java,Swift",3.7004,Kotlin,12,0.833,0.953,0.865,84,1.0,3.32,7.5577,-0.1506,10.18,1,1,1,25,2266,101,0.5803,2,12
jamie94,3208,9837.0,717,268,375.0,98.0,638.0,"CSS,Scala,HTML,Haskell,Rust,C++,Ruby,C,SQL,TypeScript,Go",3.4594,TypeScript,16,0.905,0.581,0.662,81,0.67,2.9,6.6998,-0.1245,8.78,1,1,1,100,3746,45,0.5027,2,23
dev_7450,610,219.0,9,6,0.0,0.0,14.0,"Haskell,Elixir",1.0,Haskell,0,0.354,0.426,0.062,23,0.453,0.95,-0.545,0.1689,1.67,1,0,0,73,32,32,0.1974,0,8
brownmaria,3051,1843.0,438,6,3.0,1.0,7.0,"Ruby,Shell,C",1.585,C,2,0.463,0.353,0.68,49,0.312,1.23,2.3253,-0.0392,8.35,1,0,0,35,63,0,0.2929,0,0
corey37,4335,1392.0,183,69,129.0,68.0,1241.0,"Scala,HTML,R,C#,C,Go,Elixir",2.8074,Go,10,0.806,0.72,0.74,40,0.343,3.85,5.326,-0.1414,11.87,0,1,1,0,4143,74,0.5163,2,6
cmorris,2821,2900.0,459,254,31.0,37.0,862.0,"CSS,Julia,Dart,Shell,Elixir",2.3219,Julia,7,0.251,0.533,0.727,86,0.686,4.05,-0.3099,-0.2205,7.72,1,1,0,25,877,9,0.377,2,11
mnelson,133,38.0,3,4,6.0,1.0,34.0,Shell,0.0,Shell,0,0.131,0.0,0.0,3,0.688,1.05,-4.1591,0.2158,0.36,0,0,1,0,44,33,0.0679,0,21
dev_9662,1391,270.0,32,5,6.0,5.0,1943.0,"Scala,Rust,C++,Dart,TypeScript",2.3219,TypeScript,1,0.002,0.0,0.147,3,0.01,0.83,-4.5519,0.3121,3.81,0,0,0,0,209,21,0.091,0,23
jessica80,2230,494.0,96,144,1084.0,42.0,689.0,"Scala,PHP,Rust,C++,Julia,C#,Go,Swift",3.0,PHP,8,0.585,0.376,0.555,42,0.71,2.79,3.0631,-0.1366,6.11,0,1,1,0,1398,38,0.4159,1,14
dev_8766,2875,1216.0,247,17,30.0,24.0,418.0,"CSS,Ruby,Julia,Java,C,Kotlin,SQL,TypeScript,Go",3.1699,Java,14,0.465,0.69,0.411,57,0.762,2.68,4.0711,-0.0289,7.87,0,1,1,0,496,98,0.4782,2,9
usilva,1316,23.0,1,5,1.0,1.0,8.0,CSS,0.0,CSS,0,0.036,0.0,0.114,3,0.319,2.48,0.8676,0.1672,3.6,0,0,0,0,5,0,0.0328,0,3
desiree21,2044,3311.0,421,6,136.0,171.0,22.0,"HTML,PHP,C++,R,Ruby,Julia,C,Python,Elixir,Haskell,Go,Swift",3.585,C++,11,0.644,0.72,1.0,61,0.716,2.55,1.2587,0.0132,5.6,1,1,1,43,474,84,0.4935,2,2
crystal57,5745,2258.0,300,270,95.0,125.0,2801.0,"CSS,Scala,C++,Rust,Ruby,Julia,JavaScript,Dart,Python,C,SQL,TypeScript,Java",3.7004,CSS,18,0.721,0.463,0.317,99,0.92,3.35,6.5409,-0.2358,15.73,1,1,1,20,2722,108,0.5517,2,3
alexander19,1951,13313.0,1150,49,44.0,31.0,262.0,"CSS,Scala,HTML,R,C++,Go,C#,C,Python,Elixir,TypeScript,Java,Swift",3.7004,Elixir,6,1.0,0.61,0.526,45,0.344,3.66,4.9033,-0.2079,5.34,0,1,0,0,9611,68,0.4779,2,5
lindsey36,129,40.0,5,50,17.0,10.0,2.0,"R,Go,Java,Dart,C#,Kotlin,Shell,JavaScript,Swift",3.1699,Dart,2,0.284,0.137,0.181,18,0.214,1.03,-0.7997,0.094,0.35,0,0,1,0,33,68,0.1455,0,4
dev_3214,3972,743.0,62,60,78.0,144.0,7303.400000000031,"CSS,Scala,Swift,PHP,Rust,C++,R,Dart,Kotlin,Python,SQL,TypeScript,Shell,Java,Elixir",3.9069,Rust,15,0.639,0.627,0.822,50,0.937,3.24,4.5104,-0.0733,10.87,1,1,1,140,9994,54,0.573,2,18
dev_3328,1177,818.0,188,7,31.0,11.0,5.0,Dart,0.0,Dart,5,0.061,0.623,0.0,59,0.455,1.65,-1.432,0.1348,3.22,0,0,0,0,97,37,0.1348,0,4
michael52,2833,367.0,23,20,25.0,25.0,74.0,"Haskell,TypeScript,Dart,Swift",2.0,TypeScript,7,0.299,0.478,0.0,60,0.624,2.41,5.0763,0.1779,7.76,1,0,0,89,50,30,0.2756,1,23
kayla87,4306,5035.0,250,38,35.0,7.0,1843.0,"CSS,Scala,C++,Ruby,C#,Kotlin,C,Python,Haskell",3.1699,CSS,18,0.975,0.719,0.463,79,0.606,3.28,13.2135,-0.1158,11.79,1,1,0,92,1550,133,0.5063,2,3
ygonzalez,356,567.0,92,4,8.0,5.0,103.0,"CSS,PHP,Ruby,Dart,C,TypeScript,Shell,Elixir",3.0,Shell,7,0.194,0.458,0.494,50,0.747,2.76,3.2443,0.0285,0.97,0,0,0,0,272,55,0.3242,1,21
dev_6391,1261,22.0,0,13,1.0,0.0,6.0,Shell,0.0,Shell,0,0.236,0.0,0.324,3,0.23,0.79,2.9331,0.2044,3.45,0,0,0,0,33,39,0.0931,0,21
robert57,2316,443.0,50,193,484.0,235.0,60.0,"R,Go,C++,Rust,Python,C,Java,Elixir",3.0,Go,5,0.448,0.294,0.326,52,0.664,3.73,0.0838,0.0577,6.34,0,0,1,0,1222,29,0.3542,1,6
butlersherry,1485,393.0,31,15,14.0,5.0,1022.0,"CSS,Scala,R,Haskell,PHP,HTML,Julia,Dart,SQL,Shell",3.3219,R,5,0.362,0.517,0.276,55,0.583,1.25,7.1518,0.1779,4.07,0,0,1,0,390,62,0.3721,1,16
robert70,4662,4470.0,903,800,194.0,181.0,771.0,"CSS,Scala,HTML,PHP,Rust,C++,Lua,Ruby,JavaScript,Java,C,TypeScript,Shell,Go,Elixir",3.9069,Rust,18,0.809,0.655,0.963,86,1.0,3.88,4.7703,-0.0933,12.76,1,1,1,26,5212,121,0.6431,2,18
dev_9047,2589,361.0,53,77,48.0,39.0,1796.0,"Scala,Lua,R,HTML,JavaScript,Python,Haskell,Go,Elixir",3.1699,JavaScript,10,0.376,0.715,0.671,94,0.571,2.92,4.4566,0.0944,7.09,0,1,1,0,1430,72,0.401,2,10
dev_541,2594,8056.0,64,17,76.0,78.0,7303.400000000031,"Scala,Lua,HTML,R,Rust,Ruby,Julia,Python,Go,Swift",3.3219,Go,9,1.0,0.323,0.133,71,0.596,2.36,6.8996,-0.0682,7.1,1,1,1,42,3613,95,0.4447,2,6
danarivers,3056,3630.0,1089,40,2166.2100000000046,1872.0,2131.0,"Scala,Lua,R,CSS,C++,Dart,C#,Python,C,SQL,TypeScript,Shell,Elixir",3.7004,SQL,15,1.0,0.861,0.874,98,0.838,3.97,5.6328,-0.0169,8.37,1,1,1,117,2702,46,0.6436,2,19
harrislaura,30,104.0,9,1,1.0,1.0,273.0,"CSS,Julia,JavaScript,Haskell,Go,Swift",2.585,Julia,2,0.456,0.318,0.052,62,0.662,1.84,1.2688,0.0795,0.1,1,0,1,73,64,11,0.2576,1,11
browndawn,4456,811.0,113,268,378.0,315.0,166.0,"Lua,HTML,PHP,Go,C++,Ruby,C#,Kotlin,TypeScript,Shell,Java",3.4594,Go,11,0.99,0.737,0.805,50,0.963,3.06,10.7981,-0.1314,12.2,1,0,1,89,431,57,0.5558,2,6
michael85,4165,18453.0,5321,142,200.0,174.0,1433.0,"Julia,Java,Dart,C#,Kotlin,SQL,TypeScript,Go",3.0,SQL,11,0.424,0.756,0.784,57,1.0,2.3,0.223,-0.0821,11.4,1,1,1,20,869,111,0.4907,2,19
dev_8648,2893,337.0,18,103,134.0,56.0,146.0,"Scala,HTML,PHP,Python,Shell,Java,Elixir",2.8074,HTML,7,0.392,0.228,0.356,61,0.63,1.93,4.2623,-0.2223,7.92,1,0,0,49,139,14,0.3102,1,7
matthew42,3824,4674.0,439,37,1277.0,643.0,57.0,"Lua,HTML,Haskell,Rust,R,Ruby,JavaScript,SQL,Shell,Go,Swift",3.4594,Rust,18,1.0,0.674,0.645,67,1.0,3.7,7.1691,-0.0482,10.47,1,1,1,107,2069,85,0.595,2,18
michaeladams,1110,31.0,4,14,0.0,0.0,56.0,"SQL,Ruby,Dart,C#,Kotlin,Haskell,Swift",2.8074,C#,0,0.919,0.221,0.486,11,0.555,1.04,-1.5229,0.2641,3.04,1,0,1,135,267,49,0.2768,0,1
tracey35,3840,9186.0,1685,30,1512.0,509.0,467.0,"R,PHP,C++,Ruby,Julia,Java,Python,Kotlin,Haskell,TypeScript,Shell,Go,Swift",3.7004,Haskell,11,0.919,0.977,0.76,71,0.349,2.48,8.1881,-0.0479,10.51,1,1,1,94,6777,70,0.5766,2,8
dev_8033,30,4.0,1,3,0.0,0.0,9.0,Go,0.0,Go,3,0.57,0.0,0.0,14,0.523,0.8,-1.6982,0.0799,0.1,1,0,1,57,5,83,0.1375,0,6
tiffany2,1136,148.0,15,10,17.0,13.0,9.0,"SQL,HTML",1.0,SQL,1,0.634,0.111,0.0,36,0.749,2.3,-1.5147,-0.0485,3.11,0,0,0,0,28,50,0.2642,0,19
justin15,3792,10512.0,2046,76,75.0,62.0,951.0,"HTML,PHP,C++,R,Ruby,Java,Dart,C,Python,SQL,JavaScript",3.4594,C++,15,0.913,0.583,0.708,73,0.423,3.89,3.7038,-0.1164,10.38,1,1,1,23,558,100,0.5036,2,2
dev_7125,2372,22118.350000000006,2495,242,146.0,85.0,1090.0,"CSS,Lua,HTML,PHP,C++,Rust,Ruby,Java,Dart,C#,Kotlin,Haskell,TypeScript,JavaScript,Elixir",3.9069,Kotlin,18,0.558,0.821,1.0,44,0.864,3.47,7.2465,-0.216,6.49,1,1,1,123,9151,122,0.7191,2,12
dev_1430,2371,10.0,0,3,1.0,0.0,2.0,"Lua,JavaScript",1.0,Lua,0,0.421,0.337,0.13,26,0.782,0.5,-4.9881,0.2206,6.49,0,0,0,0,290,22,0.1465,0,13
richard83,30,9.0,0,19,0.0,0.0,1.0,C,0.0,C,3,0.21,0.328,0.0,17,0.162,1.38,0.0231,0.2344,0.1,0,0,0,0,11,6,0.0894,0,0
parkstina,2453,295.0,36,13,12.0,9.0,18.0,"R,Ruby,Julia,Dart,TypeScript",2.3219,Dart,2,0.687,0.375,0.372,20,0.366,0.93,-0.6799,-0.0005,6.72,0,0,0,0,113,27,0.2621,0,4
christopher89,2624,497.0,56,64,54.0,59.0,387.0,"CSS,C++,Rust,TypeScript,Go,Elixir",2.585,CSS,10,0.124,0.737,0.709,52,0.847,2.28,1.865,-0.0669,7.18,1,0,1,83,790,67,0.3717,2,3
heather95,372,5.0,0,15,5.0,10.0,3.0,Kotlin,0.0,Kotlin,0,0.473,0.0,0.0,37,0.232,1.85,1.1909,0.1644,1.02,0,0,0,0,31,43,0.0708,1,12
tanner67,30,132.0,10,1,78.0,6.0,13.0,"Lua,Rust,Dart,Python,TypeScript,Go",2.585,Rust,0,0.0,0.084,0.0,3,0.432,1.69,3.3861,0.0234,0.1,0,1,0,0,53,54,0.2539,0,18
richard37,2195,204.0,30,51,78.0,142.0,121.0,"Scala,CSS,R,Haskell,Rust,C,SQL,TypeScript,Shell",3.1699,Haskell,10,0.582,0.355,0.797,36,0.333,3.18,7.1624,-0.0794,6.01,1,1,0,94,260,41,0.452,2,8
timothyray,704,383.0,28,67,209.0,94.0,258.0,"Scala,Lua,PHP,Rust,Java,C#,Kotlin,SQL,TypeScript,Shell,JavaScript",3.4594,Kotlin,13,0.809,0.594,0.258,54,0.698,2.33,0.8253,-0.1222,1.93,0,0,1,0,773,61,0.4189,1,12
tiffany57,1246,66.0,8,9,11.0,3.0,100.0,"Haskell,Swift",1.0,Swift,4,0.454,0.0,0.239,25,0.339,1.31,-1.0726,0.2205,3.41,0,0,0,0,7,36,0.1606,0,22
dev_4881,3201,562.0,5,199,1230.0,524.0,1937.0,"Go,Rust,Ruby,JavaScript,Dart,C#,Python,C,Haskell,Shell,Java,Elixir",3.585,Shell,13,1.0,0.559,1.0,66,0.852,2.49,8.2235,-0.0163,8.76,1,0,1,49,3958,132,0.5192,2,21
stephanie44,750,47.0,14,1,22.0,22.0,3.0,"HTML,R,Rust,C++,Dart,SQL,Shell,Go",3.0,Rust,9,0.23,0.527,0.134,34,0.25,3.39,-0.2748,0.0945,2.05,1,0,0,27,1026,85,0.3268,1,18
jose20,4347,973.0,11,162,34.0,46.0,1002.0,"HTML,Rust",1.0,HTML,12,0.607,0.355,0.343,53,0.744,1.81,4.2578,0.0047,11.9,0,1,1,0,451,74,0.3296,2,7
theresa6,1449,44.0,7,6,10.0,12.0,17.0,"R,PHP,Kotlin,SQL,Shell,Swift",2.585,Shell,9,0.465,0.28,0.436,36,0.806,1.36,1.4697,0.0595,3.97,0,0,0,0,160,73,0.3361,1,21
matthew46,1308,352.0,45,4,2.0,2.0,11.0,Shell,0.0,Shell,0,0.277,0.555,0.087,26,0.412,0.84,-5.6153,0.019,3.58,0,0,0,0,165,33,0.1357,0,21
manuel84,1769,50.0,7,33,2.0,4.0,121.0,"CSS,Lua,C++,C,JavaScript,Swift",2.585,JavaScript,3,0.399,0.233,0.196,48,0.376,2.74,9.7974,0.0301,4.84,0,0,0,0,1367,40,0.2812,1,10
jdavis,1033,1702.0,220,222,12.0,4.0,126.0,"Scala,Lua,HTML,CSS,Ruby,C#,Elixir,Haskell,TypeScript,Java,Swift",3.4594,TypeScript,8,0.476,0.465,0.321,60,0.43,2.17,6.5986,-0.0827,2.83,0,0,0,0,275,74,0.4126,2,23
dev_3050,3089,495.0,108,72,504.0,556.0,2145.0,"Scala,Ruby,Julia,JavaScript,C,Python,Shell,Java,Elixir",3.1699,Scala,5,0.836,0.696,0.894,83,0.805,3.52,3.7479,-0.188,8.46,1,1,1,72,2353,98,0.4896,2,20
imoore,30,29.0,2,10,10.0,6.0,4.0,TypeScript,0.0,TypeScript,2,0.326,0.193,0.25,20,0.396,1.37,2.9573,0.2729,0.1,0,0,0,0,46,14,0.1834,0,23
peter39,240,3308.0,649,41,20.0,7.0,49.0,"PHP,Rust,Ruby,Julia,Python,C,SQL,TypeScript,Shell,Go",3.3219,Rust,7,0.017,0.311,0.623,54,0.359,1.94,0.9545,-0.0464,0.66,0,0,1,0,1308,7,0.3642,1,18
dev_4937,30,81.0,16,28,1.0,0.0,97.0,Kotlin,0.0,Kotlin,4,0.642,0.381,0.0,24,0.578,0.54,1.7919,0.1955,0.1,0,1,0,0,70,44,0.1245,0,12
elizabeth37,397,92.0,2,9,4.0,0.0,11.0,"Python,Rust,Kotlin,Elixir",2.0,Elixir,1,0.516,0.23,0.25,40,0.257,2.02,-1.4566,0.1527,1.09,0,0,0,0,68,0,0.1934,0,5
dev_745,3483,3386.0,287,66,15.0,12.0,59.0,"Rust,Kotlin,Haskell,Go,Elixir",2.3219,Go,7,0.684,0.695,0.481,57,0.701,4.28,-3.3198,-0.0576,9.54,1,1,0,45,951,61,0.4557,1,6
lisashields,30,7.0,1,5,1.0,0.0,19.0,R,0.0,R,4,0.329,0.549,0.067,10,0.228,0.77,-8.0,0.1686,0.1,1,0,1,93,5,0,0.1005,0,16
courtney38,30,20.0,1,13,145.0,148.0,14.0,CSS,0.0,CSS,1,0.064,0.206,0.165,3,0.339,2.18,-1.9231,0.082,0.1,0,0,0,0,126,18,0.1396,0,3
dev_2124,2104,5534.0,778,77,152.0,152.0,408.0,"Scala,PHP,C++,Go,TypeScript,Shell,Java",2.8074,PHP,11,0.865,1.0,0.625,83,0.757,4.33,9.6227,-0.0406,5.76,0,0,1,0,7049,100,0.5533,1,14
dev_7706,2455,256.0,43,387,14.0,5.0,168.0,"Swift,Rust,Go,Dart,Kotlin,SQL,Shell,Java,Elixir",3.1699,Elixir,10,0.675,0.588,0.791,29,0.322,1.51,1.2196,0.1509,6.72,1,0,0,66,28,29,0.3062,1,5
dev_6966,3199,3172.0,366,40,100.0,54.0,1176.0,"Lua,R,PHP,C++,HTML,Ruby,Julia,JavaScript,SQL,Shell,Java,Elixir",3.585,Ruby,9,1.0,0.719,0.565,93,0.526,2.3,9.8775,0.0287,8.76,0,1,1,0,666,88,0.4801,2,17
jschmitt,1699,185.0,44,4,14.0,10.0,123.0,"Scala,C++,Julia,Haskell,Shell,Java,Elixir",2.8074,Julia,9,0.153,0.057,0.485,4,0.557,1.39,6.9105,0.0529,4.65,0,1,0,0,63,22,0.2694,1,11
hernandezmolly,4138,652.0,54,15,50.0,110.0,232.0,"Scala,Lua,R,Go,Ruby,Julia,JavaScript,Dart,Kotlin,SQL,Java",3.4594,Java,15,0.968,0.424,0.222,53,0.494,1.61,4.1329,-0.0107,11.33,0,1,1,0,802,43,0.4414,2,9
vmartinez,2798,497.0,49,35,55.0,89.0,24.0,"Scala,Lua,R,Haskell,C++,Rust,PHP,Ruby,Julia,Dart,C#,C,Python,Kotlin,SQL,TypeScript,Go,Elixir",4.1699,Go,14,0.831,0.594,0.645,70,0.822,3.34,4.5371,-0.0912,7.66,1,1,1,13,3893,90,0.455,2,6
xrodriguez,3364,404.0,77,16,75.0,16.0,13.0,"R,Ruby,C#,Python,C,TypeScript",2.585,Python,10,0.867,0.582,0.61,58,0.438,2.8,5.3484,0.0585,9.21,1,0,1,37,610,89,0.3937,1,15
michelle92,733,305.0,55,34,5.0,4.0,183.0,"CSS,PHP,Dart,Shell,JavaScript,Elixir",2.585,JavaScript,11,0.919,0.167,0.333,39,0.41,3.25,2.7215,-0.0575,2.01,0,1,1,0,127,65,0.3576,2,10
acollins,3039,15513.0,1226,800,1911.0,1769.0,225.0,"SQL,CSS,PHP,Go,Rust,Ruby,Julia,Dart,C,Elixir,Haskell,TypeScript,Java,Swift",3.8074,TypeScript,10,1.0,0.874,0.966,124,0.881,3.12,5.8382,-0.3,8.32,1,1,1,65,1511,93,0.6566,2,23
emilylee,2445,534.0,78,54,190.0,53.0,65.0,"Scala,R,PHP,Rust,Dart,Kotlin,Haskell,Java",3.0,R,5,0.48,0.416,0.693,58,0.66,3.27,2.9056,0.0013,6.69,1,1,0,31,281,0,0.3831,2,16
dev_8000,3207,1746.0,183,156,493.0,211.0,602.0,"CSS,Lua,Haskell,C++,PHP,Java,Dart,C#,C,Python,SQL,Shell,JavaScript,Swift",3.8074,Swift,17,0.907,0.663,0.733,85,0.477,1.87,4.1583,-0.2564,8.78,0,0,1,0,1645,132,0.5383,2,22
maria72,911,172.0,21,3,0.0,0.0,83.0,Java,0.0,Java,0,0.627,0.0,0.558,9,0.525,1.38,1.8908,0.0653,2.49,0,0,1,0,20,51,0.1516,0,9
davidevans,2971,75.0,20,64,79.0,64.0,357.0,"CSS,Lua,Rust,Dart,Python,Haskell,Elixir",2.8074,Lua,14,0.941,0.752,0.668,60,0.819,3.33,2.9927,-0.1196,8.13,1,1,0,99,208,27,0.4828,1,13
katherinestuart,2198,47.0,7,11,23.0,4.0,64.0,"CSS,Scala,C++,Julia,C#,Python,Kotlin,SQL,TypeScript,Go,Elixir",3.4594,Kotlin,7,0.614,0.123,0.25,36,0.459,3.17,3.8457,-0.0777,6.02,1,0,0,31,998,98,0.3411,1,12
paulfranklin,30,3.0,0,4,3.0,0.0,142.0,Lua,0.0,Lua,1,0.719,0.08,0.035,8,0.253,2.16,-8.0,0.3106,0.1,1,1,0,123,17,33,0.063,0,13
allen38,3786,3993.0,831,95,85.0,92.0,7303.400000000031,"CSS,Lua,R,PHP,C++,HTML,Kotlin,Python,Haskell,Java",3.3219,Java,14,0.522,0.462,0.75,93,0.806,2.95,4.9523,-0.2168,10.37,1,0,1,64,901,65,0.5152,2,9
matthew95,683,63.0,1,15,2.0,0.0,113.0,"Scala,HTML,R,C#,C,Python",2.585,Python,0,0.0,0.343,0.0,32,0.01,1.96,-4.7998,0.2187,1.87,0,0,0,0,24,41,0.166,0,15
cassandra12,1570,33.0,8,3,6.0,8.0,113.0,"Scala,Lua,R,Python,Haskell,Shell,Java,Swift",3.0,Python,0,0.377,0.0,0.307,44,0.316,0.5,0.9379,0.1386,4.3,1,0,0,127,23,53,0.2487,0,15
mitchellerica,478,3.0,0,3,1.0,1.0,4.0,"Scala,Lua,R,Rust,Java",2.3219,Java,4,0.0,0.046,0.451,7,0.276,1.91,2.3725,0.0957,1.31,0,0,1,0,519,58,0.2136,0,9
dev_2519,923,67.0,12,1,9.0,1.0,4.0,"Haskell,Java",1.0,Haskell,7,0.99,0.213,0.036,24,0.489,0.97,4.3748,0.1931,2.53,0,0,0,0,49,41,0.2019,0,8
teresa60,613,117.0,6,6,7.0,1.0,5.0,"Go,Ruby,C#,C++",2.0,C++,4,0.17,0.091,0.0,11,0.51,1.69,0.5322,0.1638,1.68,0,0,0,0,83,31,0.1949,0,2
christopher58,1506,596.0,19,23,214.0,120.0,516.0,"Lua,R,Haskell,PHP,C++,Go,Julia,Dart,SQL,JavaScript,Elixir",3.4594,SQL,12,0.385,0.827,0.597,50,0.678,1.56,5.0764,-0.145,4.12,1,1,1,139,2809,48,0.5072,1,19
dev_6399,411,31.0,0,7,6.0,8.0,64.0,Swift,0.0,Swift,0,0.142,0.167,0.0,3,0.391,1.27,-0.938,0.0899,1.13,0,1,0,0,106,50,0.0362,0,22
rebecca92,2846,48.0,0,5,15.0,12.0,9.0,"CSS,Lua,R,JavaScript,Elixir",2.3219,CSS,3,0.371,0.659,0.575,10,0.631,2.47,-2.7899,0.1475,7.79,1,0,0,125,40,69,0.3106,1,3
patrick50,1071,226.0,45,9,7.0,0.0,50.0,"Julia,JavaScript,C,Haskell,Go",2.3219,Haskell,3,0.657,0.159,0.348,10,0.4,1.58,0.9828,0.0678,2.93,0,0,0,0,48,0,0.3022,0,8
dev_2417,3343,1397.0,235,42,29.0,11.0,33.0,"PHP,Julia,Dart,Haskell,TypeScript,JavaScript,Swift",2.8074,PHP,9,0.537,0.7,0.856,45,0.692,3.12,5.1682,-0.0407,9.15,1,0,1,48,156,92,0.469,2,14
dev_8724,2250,2186.0,252,22,11.0,10.0,482.0,"Scala,PHP,C++,Ruby,Julia,Dart,TypeScript,Elixir",3.0,Ruby,13,0.364,0.687,0.38,85,1.0,2.18,1.7255,0.0374,6.16,0,1,1,0,637,7,0.4055,2,17
cantrellkimberly,1030,24.0,4,4,7.0,7.0,19.0,"Scala,Swift,HTML,Elixir",2.0,Elixir,0,0.074,0.0,0.0,69,0.577,0.5,-5.4595,0.2096,2.82,1,0,0,134,23,13,0.1449,0,5
dev_2812,1327,106.0,4,22,6.0,5.0,49.0,"CSS,Ruby,JavaScript,Dart,SQL,Java,Swift",2.8074,Ruby,0,0.41,0.0,0.291,5,0.531,1.61,5.2859,0.1002,3.63,0,0,0,0,41,30,0.2217,0,17
theresa60,2482,257.0,7,39,74.0,33.0,1810.0,"CSS,Scala,R,PHP,Rust,Kotlin,C,Haskell,Shell,JavaScript,Elixir",3.4594,JavaScript,1,0.891,0.693,0.443,24,0.796,2.3,4.4553,0.1942,6.8,0,0,1,0,253,33,0.4334,1,10
david11,3863,33.0,5,62,65.0,22.0,3268.0,"CSS,R,PHP,C++,Rust,Go,Julia,C#,C,Kotlin,JavaScript",3.4594,Kotlin,6,0.903,0.803,0.538,60,0.698,1.24,2.8347,-0.0592,10.58,0,0,1,0,419,61,0.4724,2,12
michelle91,2734,1506.0,87,50,391.0,429.0,214.0,"CSS,R,Rust,C++,Julia,Dart,Kotlin,TypeScript,Shell,Go",3.3219,Rust,9,0.719,0.453,0.511,84,0.438,2.45,0.1647,-0.2027,7.49,1,1,1,30,7907,63,0.4463,2,18
halldaniel,1604,185.0,32,68,67.0,70.0,77.0,"Julia,JavaScript,C,Elixir,Java,Swift",2.585,Java,1,0.44,0.515,0.604,19,0.556,1.97,0.3844,0.1112,4.39,1,0,0,130,636,61,0.3075,1,9
