developer_id,account_age_days,total_commits,commits_last_90d,total_repos,pull_requests_merged,issues_closed,stars_received,languages_used,language_entropy,primary_language,framework_count,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,commit_trend_slope,activity_decay_lambda,years_active,has_bio,has_company,has_location,bio_length,avg_repo_size_kb,avg_repo_description_len,developer_dna_score,developer_tier,primary_language_encoded,log_total_commits,log_stars_received,log_pull_requests_merged,log_issues_closed,log_total_repos,commit_velocity,recency_score,repos_per_year,pr_merge_rate,execution_quality,language_count,impact_weight,profile_completeness,growth_momentum,consistency_index
jordan71,1430,1878.0,249,4,11.0,17.0,26.0,"Lua,Go,Ruby,Dart,TypeScript,JavaScript,Swift",2.8074,Swift,8,0.29,0.356,0.0,21,0.45,1.29,6.9423,-0.0914,3.92,1,0,1,42,1157,4,0.3526,1,22,7.538494999413465,3.295836866004329,2.4849066497880004,2.8903717578961645,1.6094379124341003,9.1681,0.1325,0.813,0.3793,0.2294,7,5.3044,2,1.411,0.9163
frazierjared,1670,66.0,10,6,5.0,5.0,124.0,HTML,0.0,HTML,9,0.0,0.138,0.295,28,0.224,1.36,-1.9653,0.0764,4.57,0,0,1,0,23,53,0.1229,0,7,4.204692619390966,4.8283137373023015,1.791759469228055,1.791759469228055,1.9459101490553132,0.2766,0.1493,1.0772,0.4545,0.1437,1,9.3955,1,-0.3528,0.929
andrew55,3718,1364.0,145,110,305.0,477.0,262.0,"CSS,Lua,Go,JavaScript,Dart,Kotlin,C,Elixir,Python,Haskell,Shell,Java,Swift",3.7004,Kotlin,12,0.833,0.953,0.865,84,1.0,3.32,7.5577,-0.1506,10.18,1,1,1,25,2266,101,0.5803,2,12,7.21890970761906,5.572154032177765,5.723585101952381,6.169610732491456,4.709530201312334,2.5718,0.1062,9.839,0.3895,0.8906,13,26.2422,3,0.676,0.8691
jamie94,3208,9837.0,717,268,375.0,98.0,638.0,"CSS,Scala,HTML,Haskell,Rust,C++,Ruby,C,SQL,TypeScript,Go",3.4594,TypeScript,16,0.905,0.581,0.662,81,0.67,2.9,6.6998,-0.1245,8.78,1,1,1,100,3746,45,0.5027,2,23,9.194007717355285,6.459904454377535,5.929589143389895,4.59511985013459,5.594711379601839,21.4988,0.0729,27.4029,0.7911,0.7025,11,36.1413,3,0.6851,0.8893
dev_7450,610,219.0,9,6,0.0,0.0,14.0,"Haskell,Elixir",1.0,Haskell,0,0.354,0.426,0.062,23,0.453,0.95,-0.545,0.1689,1.67,1,0,0,73,32,32,0.1974,0,8,5.393627546352361,2.70805020110221,0.0,0.0,1.9459101490553132,2.4932,0.0409,2.2472,0.0,0.2952,2,5.2696,1,-0.2041,0.8555
brownmaria,3051,1843.0,438,6,3.0,1.0,7.0,"Ruby,Shell,C",1.585,C,2,0.463,0.353,0.68,49,0.312,1.23,2.3253,-0.0392,8.35,1,0,0,35,63,0,0.2929,0,0,7.519692404116539,2.0794415416798357,1.3862943611198906,0.6931471805599453,1.9459101490553132,4.2348,0.2375,0.6417,0.6,0.4841,3,4.0464,1,0.2487,0.9623
corey37,4335,1392.0,183,69,129.0,68.0,1241.0,"Scala,HTML,R,C#,C,Go,Elixir",2.8074,Go,10,0.806,0.72,0.74,40,0.343,3.85,5.326,-0.1414,11.87,0,1,1,0,4143,74,0.5163,2,6,7.239214973779806,7.124478262493424,4.867534450455582,4.23410650459726,4.248495242049359,2.2516,0.1314,5.3613,0.6515,0.7518,7,30.2683,2,0.4138,0.8761
cmorris,2821,2900.0,459,254,31.0,37.0,862.0,"CSS,Julia,Dart,Shell,Elixir",2.3219,Julia,7,0.251,0.533,0.727,86,0.686,4.05,-0.3099,-0.2205,7.72,1,1,0,25,877,9,0.377,2,11,7.972810784121404,6.760414691083428,3.4657359027997265,3.6375861597263857,5.541263545158426,7.206,0.1582,29.1284,0.4493,0.5066,5,37.4612,2,-0.0355,0.8193
mnelson,133,38.0,3,4,6.0,1.0,34.0,Shell,0.0,Shell,0,0.131,0.0,0.0,3,0.688,1.05,-4.1591,0.2158,0.36,0,0,1,0,44,33,0.0679,0,21,3.6635616461296463,3.5553480614894135,1.9459101490553132,0.6931471805599453,1.6094379124341003,1.927,0.0769,2.9412,0.75,0.0393,1,5.7221,1,-3.0582,0.8225
dev_9662,1391,270.0,32,5,6.0,5.0,1943.0,"Scala,Rust,C++,Dart,TypeScript",2.3219,TypeScript,1,0.002,0.0,0.147,3,0.01,0.83,-4.5519,0.3121,3.81,0,0,0,0,209,21,0.091,0,23,5.602118820879701,7.572502985020384,1.9459101490553132,1.791759469228055,1.791759469228055,1.356,0.1181,1.0395,0.5,0.0447,5,13.5681,0,-0.9463,0.7621
jessica80,2230,494.0,96,144,1084.0,42.0,689.0,"Scala,PHP,Rust,C++,Julia,C#,Go,Swift",3.0,PHP,8,0.585,0.376,0.555,42,0.71,2.79,3.0631,-0.1366,6.11,0,1,1,0,1398,38,0.4159,1,14,6.20455776256869,6.536691597591305,6.98933526597456,3.7612001156935624,4.976733742420574,1.5499,0.1939,20.2532,0.9618,0.4924,8,32.5314,2,0.4308,0.8798
dev_8766,2875,1216.0,247,17,30.0,24.0,418.0,"CSS,Ruby,Julia,Java,C,Kotlin,SQL,TypeScript,Go",3.1699,Java,14,0.465,0.69,0.411,57,0.762,2.68,4.0711,-0.0289,7.87,0,1,1,0,496,98,0.4782,2,9,7.104144092987527,6.037870919922137,3.4339872044851463,3.2188758248682006,2.8903717578961645,2.9641,0.203,1.9166,0.5455,0.5388,9,17.4517,2,0.459,0.9719
usilva,1316,23.0,1,5,1.0,1.0,8.0,CSS,0.0,CSS,0,0.036,0.0,0.114,3,0.319,2.48,0.8676,0.1672,3.6,0,0,0,0,5,0,0.0328,0,3,3.1780538303479458,2.1972245773362196,0.6931471805599453,0.6931471805599453,1.791759469228055,0.1222,0.0417,1.087,0.3333,0.045,1,3.9369,0,0.1886,0.8568
desiree21,2044,3311.0,421,6,136.0,171.0,22.0,"HTML,PHP,C++,R,Ruby,Julia,C,Python,Elixir,Haskell,Go,Swift",3.585,C++,11,0.644,0.72,1.0,61,0.716,2.55,1.2587,0.0132,5.6,1,1,1,43,474,84,0.4935,2,2,8.10530751550515,3.1354942159291497,4.919980925828125,5.147494476813453,1.9459101490553132,11.3313,0.1271,0.9091,0.4416,0.7812,12,6.1014,3,0.1907,0.987
crystal57,5745,2258.0,300,270,95.0,125.0,2801.0,"CSS,Scala,C++,Rust,Ruby,Julia,JavaScript,Dart,Python,C,SQL,TypeScript,Java",3.7004,CSS,18,0.721,0.463,0.317,99,0.92,3.35,6.5409,-0.2358,15.73,1,1,1,20,2722,108,0.5517,2,3,7.7226775164680035,7.938088726896952,4.564348191467836,4.836281906951478,5.602118820879701,2.7572,0.1328,16.1387,0.4299,0.4966,13,44.4701,3,0.391,0.8092
alexander19,1951,13313.0,1150,49,44.0,31.0,262.0,"CSS,Scala,HTML,R,C++,Go,C#,C,Python,Elixir,TypeScript,Java,Swift",3.7004,Elixir,6,1.0,0.61,0.526,45,0.344,3.66,4.9033,-0.2079,5.34,0,1,0,0,9611,68,0.4779,2,5,9.496571392160648,5.572154032177765,3.8066624897703196,3.4657359027997265,3.912023005428146,47.7716,0.0864,7.7287,0.5789,0.7018,13,21.7984,1,0.7734,0.8279
lindsey36,129,40.0,5,50,17.0,10.0,2.0,"R,Go,Java,Dart,C#,Kotlin,Shell,JavaScript,Swift",3.1699,Dart,2,0.284,0.137,0.181,18,0.214,1.03,-0.7997,0.094,0.35,0,0,1,0,33,68,0.1455,0,4,3.713572066704308,1.0986122886681096,2.8903717578961645,2.3978952727983707,3.9318256327243257,2.0833,0.122,37.037,0.6071,0.1943,9,4.3196,1,-0.5924,0.9141
dev_3214,3972,743.0,62,60,78.0,144.0,7303.400000000031,"CSS,Scala,Swift,PHP,Rust,C++,R,Dart,Kotlin,Python,SQL,TypeScript,Shell,Java,Elixir",3.9069,Rust,15,0.639,0.627,0.822,50,0.937,3.24,4.5104,-0.0733,10.87,1,1,1,140,9994,54,0.573,2,18,6.612041034833092,8.896232185287884,4.3694478524670215,4.976733742420574,4.110873864173311,1.3122,0.0833,5.0548,0.3498,0.6891,15,36.5713,3,0.38,0.9317
dev_3328,1177,818.0,188,7,31.0,11.0,5.0,Dart,0.0,Dart,5,0.061,0.623,0.0,59,0.455,1.65,-1.432,0.1348,3.22,0,0,0,0,97,37,0.1348,0,4,6.70808408385307,1.791759469228055,3.4657359027997265,2.4849066497880004,2.0794415416798357,4.8563,0.2295,1.6588,0.7209,0.2675,1,3.7259,0,-0.3393,0.8812
michael52,2833,367.0,23,20,25.0,25.0,74.0,"Haskell,TypeScript,Dart,Swift",2.0,TypeScript,7,0.299,0.478,0.0,60,0.624,2.41,5.0763,0.1779,7.76,1,0,0,89,50,30,0.2756,1,23,5.908082938168931,4.31748811353631,3.258096538021482,3.258096538021482,3.044522437723423,0.9072,0.0625,2.2831,0.4902,0.2809,4,13.1447,1,0.5795,0.849
kayla87,4306,5035.0,250,38,35.0,7.0,1843.0,"CSS,Scala,C++,Ruby,C#,Kotlin,C,Python,Haskell",3.1699,CSS,18,0.975,0.719,0.463,79,0.606,3.28,13.2135,-0.1158,11.79,1,1,0,92,1550,133,0.5063,2,3,8.524367395164237,7.519692404116539,3.58351893845611,2.0794415416798357,3.6635616461296463,8.1993,0.0496,2.9711,0.814,0.719,9,27.5489,2,1.0331,0.8962
ygonzalez,356,567.0,92,4,8.0,5.0,103.0,"CSS,PHP,Ruby,Dart,C,TypeScript,Shell,Elixir",3.0,Shell,7,0.194,0.458,0.494,50,0.747,2.76,3.2443,0.0285,0.97,0,0,0,0,272,55,0.3242,1,21,6.342121418721152,4.6443908991413725,2.1972245773362196,1.791759469228055,1.6094379124341003,11.0226,0.162,2.0305,0.5714,0.3896,8,7.4749,0,1.6469,0.9723
dev_6391,1261,22.0,0,13,1.0,0.0,6.0,Shell,0.0,Shell,0,0.236,0.0,0.324,3,0.23,0.79,2.9331,0.2044,3.45,0,0,0,0,33,39,0.0931,0,21,3.1354942159291497,1.9459101490553132,0.6931471805599453,0.0,2.639057329615259,0.122,0.0,2.9213,0.5,0.168,1,5.1354,0,0.6591,0.8303
robert57,2316,443.0,50,193,484.0,235.0,60.0,"R,Go,C++,Rust,Python,C,Java,Elixir",3.0,Go,5,0.448,0.294,0.326,52,0.664,3.73,0.0838,0.0577,6.34,0,0,1,0,1222,29,0.3542,1,6,6.095824562432225,4.110873864173311,6.184148890937483,5.4638318050256105,5.267858159063328,1.3397,0.1126,26.2943,0.6722,0.3498,8,21.6555,1,0.0114,0.9454
butlersherry,1485,393.0,31,15,14.0,5.0,1022.0,"CSS,Scala,R,Haskell,PHP,HTML,Julia,Dart,SQL,Shell",3.3219,R,5,0.362,0.517,0.276,55,0.583,1.25,7.1518,0.1779,4.07,0,0,1,0,390,62,0.3721,1,16,5.976350909297934,6.930494765951626,2.70805020110221,1.791759469228055,2.772588722239781,1.8482,0.0787,2.9586,0.7,0.3982,10,19.2154,1,1.4106,0.849
robert70,4662,4470.0,903,800,194.0,181.0,771.0,"CSS,Scala,HTML,PHP,Rust,C++,Lua,Ruby,JavaScript,Java,C,TypeScript,Shell,Go,Elixir",3.9069,Rust,18,0.809,0.655,0.963,86,1.0,3.88,4.7703,-0.0933,12.76,1,1,1,26,5212,121,0.6431,2,18,8.405367376233981,6.648984550024776,5.272999558563747,5.204006687076795,6.68586094706836,6.7267,0.202,58.1395,0.516,0.7936,15,44.4542,3,0.3467,0.9147
dev_9047,2589,361.0,53,77,48.0,39.0,1796.0,"Scala,Lua,R,HTML,JavaScript,Python,Haskell,Go,Elixir",3.1699,JavaScript,10,0.376,0.715,0.671,94,0.571,2.92,4.4566,0.0944,7.09,0,1,1,0,1430,72,0.401,2,10,5.891644211825771,7.493873886783559,3.8918202981106265,3.6888794541139363,4.356708826689592,0.9765,0.1464,9.5179,0.5455,0.6001,9,32.6486,2,0.5509,0.9137
dev_541,2594,8056.0,64,17,76.0,78.0,7303.400000000031,"Scala,Lua,HTML,R,Rust,Ruby,Julia,Python,Go,Swift",3.3219,Go,9,1.0,0.323,0.133,71,0.596,2.36,6.8996,-0.0682,7.1,1,1,1,42,3613,95,0.4447,2,6,8.994296557777195,8.896232185287884,4.343805421853684,4.3694478524670215,2.8903717578961645,21.7612,0.0079,2.0988,0.4903,0.4691,10,25.7134,3,0.8518,0.9362
danarivers,3056,3630.0,1089,40,2166.2100000000046,1872.0,2131.0,"Scala,Lua,R,CSS,C++,Dart,C#,Python,C,SQL,TypeScript,Shell,Elixir",3.7004,SQL,15,1.0,0.861,0.874,98,0.838,3.97,5.6328,-0.0169,8.37,1,1,1,117,2702,46,0.6436,2,19,8.197263371414335,7.664815785285735,7.681195905009043,7.5352967024440884,3.713572066704308,8.3211,0.2999,4.2689,0.5363,0.9066,13,28.4638,3,0.6012,0.9834
harrislaura,30,104.0,9,1,1.0,1.0,273.0,"CSS,Julia,JavaScript,Haskell,Go,Swift",2.585,Julia,2,0.456,0.318,0.052,62,0.662,1.84,1.2688,0.0795,0.1,1,0,1,73,64,11,0.2576,1,11,4.653960350157523,5.6131281063880705,0.6931471805599453,0.6931471805599453,0.6931471805599453,16.7742,0.0857,0.9091,0.3333,0.2796,6,3.8907,2,1.1535,0.9264
browndawn,4456,811.0,113,268,378.0,315.0,166.0,"Lua,HTML,PHP,Go,C++,Ruby,C#,Kotlin,TypeScript,Shell,Java",3.4594,Go,11,0.99,0.737,0.805,50,0.963,3.06,10.7981,-0.1314,12.2,1,0,1,89,431,57,0.5558,2,6,6.699500340161678,5.117993812416755,5.937536205082426,5.755742213586912,5.594711379601839,1.2764,0.1392,20.303,0.5447,0.8333,11,28.6337,2,0.818,0.8839
michael85,4165,18453.0,5321,142,200.0,174.0,1433.0,"Julia,Java,Dart,C#,Kotlin,SQL,TypeScript,Go",3.0,SQL,11,0.424,0.756,0.784,57,1.0,2.3,0.223,-0.0821,11.4,1,1,1,20,869,111,0.4907,2,19,9.8230364281385,7.2682230211595655,5.303304908059076,5.1647859739235145,4.962844630259907,31.0761,0.2883,11.4516,0.5333,0.6648,8,36.0711,3,0.018,0.9241
dev_8648,2893,337.0,18,103,134.0,56.0,146.0,"Scala,HTML,PHP,Python,Shell,Java,Elixir",2.8074,HTML,7,0.392,0.228,0.356,61,0.63,1.93,4.2623,-0.2223,7.92,1,0,0,49,139,14,0.3102,1,7,5.823045895483019,4.990432586778736,4.90527477843843,4.04305126783455,4.6443908991413725,0.8163,0.0533,11.5471,0.7016,0.3156,7,23.1775,1,0.4778,0.8181
matthew42,3824,4674.0,439,37,1277.0,643.0,57.0,"Lua,HTML,Haskell,Rust,R,Ruby,JavaScript,SQL,Shell,Go,Swift",3.4594,Rust,18,1.0,0.674,0.645,67,1.0,3.7,7.1691,-0.0482,10.47,1,1,1,107,2069,85,0.595,2,18,8.449984441722787,4.060443010546419,7.15305163493748,6.467698726104354,3.6375861597263857,8.5692,0.0939,3.2258,0.6648,0.7631,11,14.7702,3,0.625,0.954
michaeladams,1110,31.0,4,14,0.0,0.0,56.0,"SQL,Ruby,Dart,C#,Kotlin,Haskell,Swift",2.8074,C#,0,0.919,0.221,0.486,11,0.555,1.04,-1.5229,0.2641,3.04,1,0,1,135,267,49,0.2768,0,1,3.4657359027997265,4.04305126783455,0.0,0.0,2.70805020110221,0.1949,0.125,3.4653,0.0,0.5099,7,10.9488,2,-0.377,0.7911
tracey35,3840,9186.0,1685,30,1512.0,509.0,467.0,"R,PHP,C++,Ruby,Julia,Java,Python,Kotlin,Haskell,TypeScript,Shell,Go,Swift",3.7004,Haskell,11,0.919,0.977,0.76,71,0.349,2.48,8.1881,-0.0479,10.51,1,1,1,94,6777,70,0.5766,2,8,9.125544720271467,6.148468295917647,7.321849713788356,6.234410725718371,3.4339872044851463,16.7775,0.1834,2.6064,0.7478,0.8945,13,21.1138,3,0.7114,0.9543
dev_8033,30,4.0,1,3,0.0,0.0,9.0,Go,0.0,Go,3,0.57,0.0,0.0,14,0.523,0.8,-1.6982,0.0799,0.1,1,0,1,57,5,83,0.1375,0,6,1.6094379124341003,2.302585092994046,0.0,0.0,1.3862943611198906,0.6452,0.2,2.7273,0.0,0.171,1,3.1921,2,-1.5438,0.926
tiffany2,1136,148.0,15,10,17.0,13.0,9.0,"SQL,HTML",1.0,SQL,1,0.634,0.111,0.0,36,0.749,2.3,-1.5147,-0.0485,3.11,0,0,0,0,28,50,0.2642,0,19,5.003946305945459,2.302585092994046,2.8903717578961645,2.639057329615259,2.3978952727983707,0.9095,0.1007,2.4331,0.5484,0.2346,2,5.5214,0,-0.3685,0.9537
justin15,3792,10512.0,2046,76,75.0,62.0,951.0,"HTML,PHP,C++,R,Ruby,Java,Dart,C,Python,SQL,JavaScript",3.4594,C++,15,0.913,0.583,0.708,73,0.423,3.89,3.7038,-0.1164,10.38,1,1,1,23,558,100,0.5036,2,2,9.26036786557583,6.858565034791365,4.330733340286331,4.143134726391533,4.343805421853684,19.4393,0.1946,6.6784,0.5435,0.7195,11,29.7923,3,0.3255,0.8957
dev_7125,2372,22118.35000000001,2495,242,146.0,85.0,1090.0,"CSS,Lua,HTML,PHP,C++,Rust,Ruby,Java,Dart,C#,Kotlin,Haskell,TypeScript,JavaScript,Elixir",3.9069,Kotlin,18,0.558,0.821,1.0,44,0.864,3.47,7.2465,-0.216,6.49,1,1,1,123,9151,122,0.7191,2,12,10.004208070032728,6.994849985833071,4.990432586778736,4.454347296253507,5.493061443340548,65.3461,0.1128,32.3097,0.6293,0.7958,15,38.4231,3,0.9675,0.8224
dev_1430,2371,10.0,0,3,1.0,0.0,2.0,"Lua,JavaScript",1.0,Lua,0,0.421,0.337,0.13,26,0.782,0.5,-4.9881,0.2206,6.49,0,0,0,0,290,22,0.1465,0,13,2.3978952727983707,1.0986122886681096,0.6931471805599453,0.0,1.3862943611198906,0.0295,0.0,0.4005,0.5,0.3001,2,1.523,0,-0.666,0.8193
richard83,30,9.0,0,19,0.0,0.0,1.0,C,0.0,C,3,0.21,0.328,0.0,17,0.162,1.38,0.0231,0.2344,0.1,0,0,0,0,11,6,0.0894,0,0,2.302585092994046,0.6931471805599453,0.0,0.0,2.995732273553991,1.4516,0.0,17.2727,0.0,0.1942,1,2.0765,0,0.021,0.8101
parkstina,2453,295.0,36,13,12.0,9.0,18.0,"R,Ruby,Julia,Dart,TypeScript",2.3219,Dart,2,0.687,0.375,0.372,20,0.366,0.93,-0.6799,-0.0005,6.72,0,0,0,0,113,27,0.2621,0,4,5.69035945432406,2.9444389791664403,2.5649493574615367,2.302585092994046,2.639057329615259,0.8418,0.1216,1.6839,0.5455,0.4677,5,7.7705,0,-0.0881,0.9995
christopher89,2624,497.0,56,64,54.0,59.0,387.0,"CSS,C++,Rust,TypeScript,Go,Elixir",2.585,CSS,10,0.124,0.737,0.709,52,0.847,2.28,1.865,-0.0669,7.18,1,0,1,83,790,67,0.3717,2,3,6.210600077024653,5.961005339623274,4.007333185232471,4.0943445622221,4.174387269895637,1.3276,0.1124,7.824,0.4737,0.5447,6,24.8835,2,0.228,0.9373
heather95,372,5.0,0,15,5.0,10.0,3.0,Kotlin,0.0,Kotlin,0,0.473,0.0,0.0,37,0.232,1.85,1.1909,0.1644,1.02,0,0,0,0,31,43,0.0708,1,12,1.791759469228055,1.3862943611198906,1.791759469228055,2.3978952727983707,2.772588722239781,0.0925,0.0,7.4257,0.3125,0.1419,1,3.8436,0,0.5896,0.8588
tanner67,30,132.0,10,1,78.0,6.0,13.0,"Lua,Rust,Dart,Python,TypeScript,Go",2.585,Rust,0,0.0,0.084,0.0,3,0.432,1.69,3.3861,0.0234,0.1,0,1,0,0,53,54,0.2539,0,18,4.890349128221754,2.639057329615259,4.3694478524670215,1.9459101490553132,0.6931471805599453,21.2903,0.0752,0.9091,0.9176,0.0336,6,1.8293,1,3.0783,0.9771
richard37,2195,204.0,30,51,78.0,142.0,121.0,"Scala,CSS,R,Haskell,Rust,C,SQL,TypeScript,Shell",3.1699,Haskell,10,0.582,0.355,0.797,36,0.333,3.18,7.1624,-0.0794,6.01,1,1,0,94,260,41,0.452,2,8,5.3230099791384085,4.804021044733257,4.3694478524670215,4.962844630259907,3.9512437185814275,0.6507,0.1463,7.2753,0.3529,0.5557,9,18.9819,2,1.0217,0.9264
timothyray,704,383.0,28,67,209.0,94.0,258.0,"Scala,Lua,PHP,Rust,Java,C#,Kotlin,SQL,TypeScript,Shell,JavaScript",3.4594,Kotlin,13,0.809,0.594,0.258,54,0.698,2.33,0.8253,-0.1222,1.93,0,0,1,0,773,61,0.4189,1,12,5.950642552587727,5.556828061699537,5.3471075307174685,4.553876891600541,4.219507705176107,3.7786,0.0729,22.8669,0.6875,0.5577,11,23.4471,1,0.2817,0.8911
tiffany57,1246,66.0,8,9,11.0,3.0,100.0,"Haskell,Swift",1.0,Swift,4,0.454,0.0,0.239,25,0.339,1.31,-1.0726,0.2205,3.41,0,0,0,0,7,36,0.1606,0,22,4.204692619390966,4.61512051684126,2.4849066497880004,1.3862943611198906,2.302585092994046,0.3701,0.1194,2.0408,0.7333,0.2079,2,10.6267,0,-0.2432,0.8193
dev_4881,3201,562.0,5,199,1230.0,524.0,1937.0,"Go,Rust,Ruby,JavaScript,Dart,C#,Python,C,Haskell,Shell,Java,Elixir",3.585,Shell,13,1.0,0.559,1.0,66,0.852,2.49,8.2235,-0.0163,8.76,1,0,1,49,3958,132,0.5192,2,21,6.333279628139691,7.569411792450712,7.115582126184454,6.263398262591624,5.298317366548036,1.2311,0.0089,20.3893,0.7009,0.8236,12,40.1051,2,0.8426,0.984
stephanie44,750,47.0,14,1,22.0,22.0,3.0,"HTML,R,Rust,C++,Dart,SQL,Shell,Go",3.0,Rust,9,0.23,0.527,0.134,34,0.25,3.39,-0.2748,0.0945,2.05,1,0,0,27,1026,85,0.3268,1,18,3.8712010109078907,1.3862943611198906,3.1354942159291497,3.1354942159291497,0.6931471805599453,0.4368,0.2917,0.3279,0.4889,0.32,8,0.9609,1,-0.0901,0.9137
jose20,4347,973.0,11,162,34.0,46.0,1002.0,"HTML,Rust",1.0,HTML,12,0.607,0.355,0.343,53,0.744,1.81,4.2578,0.0047,11.9,0,1,1,0,451,74,0.3296,2,7,6.881411303642535,6.910750787961936,3.5553480614894135,3.8501476017100584,5.093750200806762,1.5699,0.0113,12.5581,0.4198,0.427,2,35.2016,2,0.3301,0.9953
theresa6,1449,44.0,7,6,10.0,12.0,17.0,"R,PHP,Kotlin,SQL,Shell,Swift",2.585,Shell,9,0.465,0.28,0.436,36,0.806,1.36,1.4697,0.0595,3.97,0,0,0,0,160,73,0.3361,1,21,3.8066624897703196,2.8903717578961645,2.3978952727983707,2.5649493574615367,1.9459101490553132,0.2121,0.1556,1.2072,0.4348,0.3823,6,5.6244,0,0.2957,0.9438
