developer_id,total_commits,commits_last_90d,stars_received,pull_requests_merged,issues_closed,total_repos,language_entropy,language_count,framework_count,primary_language,languages_used,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,avg_repo_description_len,has_bio,has_company,has_location,has_blog,commit_trend_slope,activity_decay_lambda,account_age_days,years_active,consistency_score,tech_diversity,quality_volume_ratio,collab_index,recent_activity_ratio,developer_dna_score,developer_tier,profile_type
dev_341418,265,39,31,9,19,12,1.2804,6,2,Go,"R,Ruby,Swift,C++,Python,Rust",0.8231,0.7559,0.3386,52.3,0.867,2.5557,58.58,1,1,1,1,-0.372,0.0601,1489,4.08,0.5582,0.5122,1.1452,1.2759,2.2627,0.5037,1,standard
dev_159689,243,107,191,26,23,26,2.0044,6,4,Elixir,"JavaScript,Python,C,Ruby,Go,Kotlin",0.8711,0.9073,0.891,61.23,0.034,2.1655,105.17,1,1,1,1,0.9744,-0.4945,2385,6.53,0.4592,1.1454,1.5929,1.174,10.0,0.7083,2,standard
dev_435529,2193,481,948,398,68,22,1.8379,5,3,C,"TypeScript,R,Elixir,PHP,C",0.9873,0.9109,0.8078,55.41,0.246,2.281,73.45,1,1,1,0,5.7983,0.1168,3138,8.6,0.8812,0.9189,1.1585,1.934,7.4266,0.6764,2,standard
dev_552446,165,21,27,3,9,5,1.2864,2,0,C,"C,JavaScript",0.0785,0.2502,0.3954,40.03,0.8248,1.4215,89.6,1,0,1,1,0.0265,-0.0106,1340,3.67,0.6646,0.0,0.4648,1.3181,1.7166,0.3059,1,standard
dev_748627,3154,551,274,12,194,11,2.358,6,4,Java,"Java,C++,Kotlin,TypeScript,Rust,R",0.4255,0.9155,0.7242,61.15,0.1557,2.6349,73.02,1,0,1,1,2.1925,0.1514,2222,6.09,0.7492,1.3474,0.8718,2.0791,4.2216,0.6623,2,standard
dev_193382,555,143,111,46,16,23,2.0217,4,4,Rust,"Kotlin,Ruby,Rust,Java",0.6773,0.6132,0.956,47.88,0.4091,2.1119,24.7,0,0,1,1,2.1175,-0.3757,2798,7.67,0.9716,1.1553,1.1451,1.2871,7.4887,0.5792,2,standard
dev_184547,103,16,35,1,15,7,0.8147,2,3,C,"C,Ruby",0.3809,0.5627,0.2834,65.91,0.6084,2.0295,29.82,1,0,1,0,2.2888,-0.0207,928,2.54,0.4087,0.4074,0.8945,1.2895,1.4388,0.4006,0,standard
dev_320605,1360,609,854,15,93,48,2.065,4,4,Ruby,"Kotlin,Python,Rust,Go",0.6936,0.8125,0.7813,47.65,0.0171,1.6266,65.49,1,1,1,0,0.0445,-0.5614,2310,6.33,0.839,1.18,1.049,1.1992,10.0,0.6117,2,standard
dev_220097,1730,998,28,21,11,21,1.7833,6,2,Java,"Elixir,R,Swift,Java,Python,TypeScript",0.5638,0.7427,0.4388,30.17,0.9797,2.2242,80.73,1,0,0,1,3.2491,0.3835,1636,4.48,0.8024,0.7133,0.7912,1.1151,10.0,0.4446,1,standard
dev_307471,41,10,14,1,3,28,0.8121,4,2,Java,"Rust,Scala,C,Swift",0.2702,0.1157,0.264,43.34,0.2742,1.6082,62.68,0,1,0,1,-0.5096,0.3034,597,1.64,0.6398,0.3248,0.5381,0.4732,1.3779,0.2716,1,standard
dev_445759,2977,1994,157,33,75,21,2.922,4,4,Ruby,"JavaScript,Python,Java,C",0.8676,0.6957,0.737,90.51,0.3487,2.1444,88.68,0,1,1,0,0.1964,0.1964,2042,5.6,0.8795,1.6697,0.938,1.4962,10.0,0.6235,2,standard
dev_901680,3173,656,175,120,80,9,1.7012,4,3,Python,"Java,JavaScript,PHP,TypeScript",0.8611,0.5329,0.6065,28.12,0.053,2.9687,105.73,1,0,1,0,0.8335,-0.3219,2450,6.71,0.9528,0.8506,0.8005,2.2116,5.505,0.5742,2,standard
dev_896422,1858,498,161,15,11,9,1.339,6,2,JavaScript,"PHP,Go,R,JavaScript,C,Java",0.2523,0.2251,0.1522,34.67,0.7347,1.8779,64.78,1,1,0,0,3.6805,-0.1492,1872,5.13,0.8474,0.5356,0.2771,1.3745,5.439,0.4113,1,hybrid_high_vol_low_qual
dev_608581,261,61,4,15,11,23,1.2188,4,1,Swift,"R,TypeScript,Ruby,Elixir",0.583,0.023,0.494,19.62,0.7472,2.1718,76.27,0,1,0,0,1.1559,0.3793,831,2.28,0.18,0.3047,0.5862,1.0239,2.0572,0.3474,1,boundary_0_1
dev_894341,19,0,6,0,2,4,0.8349,1,1,Rust,PHP,0.0166,0.375,0.0111,41.06,0.8943,1.0,10.39,1,0,0,0,1.3295,0.5044,1086,2.98,0.0783,0.2087,0.5113,0.6131,0.0,0.1822,0,standard
dev_532256,1526,896,528,104,37,38,1.2901,4,2,R,"Java,Ruby,Kotlin,Swift",0.4911,0.8986,0.5446,61.06,0.3579,1.727,61.42,1,1,1,0,1.1729,-0.2056,1974,5.41,0.9004,0.516,0.9018,1.3435,10.0,0.6159,2,standard
dev_669890,2113,732,340,94,16,33,1.828,5,4,Scala,"Scala,Kotlin,Java,JavaScript,PHP",0.9766,0.985,0.6754,65.13,0.5886,1.9309,82.69,1,1,1,1,1.6717,-0.4091,2517,6.9,0.8747,1.0446,1.147,1.3246,9.4361,0.6972,2,standard
dev_790621,155,59,4,1,1,11,0.8866,1,0,Scala,TypeScript,0.0255,0.002,0.0838,6.87,0.6097,1.0,12.52,0,0,0,1,0.2386,0.2033,1960,5.37,0.1839,0.0,0.0652,0.4283,7.1835,0.2674,0,standard
dev_309222,5197,1997,127,30,66,10,1.2654,3,3,Kotlin,"Swift,Ruby,Elixir",0.7323,0.7146,0.7001,70.36,0.2463,2.2513,91.2,1,1,0,0,3.2479,0.0125,2745,7.52,0.9456,0.6327,0.8267,1.841,10.0,0.5763,2,standard
dev_365296,70,30,9,1,6,7,0.0442,1,1,JavaScript,TypeScript,0.1144,0.1816,0.5583,23.64,0.5006,1.0,37.6,1,0,0,0,2.1637,0.0273,910,2.49,0.8695,0.0111,0.6291,0.9464,3.7412,0.2353,0,standard
dev_161059,86,26,6,3,2,15,1.3834,3,1,JavaScript,"Swift,Java,Rust",0.3346,0.0791,0.4635,30.7,0.6516,1.2299,36.97,0,0,1,0,1.1599,-0.0533,1928,5.28,0.2249,0.3458,0.5936,0.6324,5.1286,0.3045,0,standard
dev_181903,73,6,2,0,0,9,0.2484,1,1,TypeScript,C++,0.009,0.2587,0.0367,5.0,0.7163,1.0,15.0,0,1,1,0,-3.0828,0.2098,1001,2.74,0.2151,0.0621,0.2662,0.0,0.7839,0.1729,0,standard
dev_172411,1120,491,659,152,136,132,2.7075,7,3,Java,"Ruby,Elixir,Swift,JavaScript,Python,PHP,C",0.5691,0.8788,0.8476,62.64,0.2036,2.4527,113.11,1,1,1,1,3.3583,-0.1704,2028,5.56,0.6966,1.3537,1.0903,1.1569,9.5575,0.7623,2,standard
dev_481950,542,210,127,28,4,16,1.7592,1,2,Swift,Scala,0.0988,0.169,0.6088,67.79,0.6553,1.0,50.06,0,0,0,0,2.645,0.0158,937,2.57,0.8727,0.7037,0.4375,1.2097,3.9069,0.3955,0,standard
dev_966812,2292,562,169,27,61,50,2.2754,3,2,Elixir,"Swift,R,Rust",0.3242,0.2495,0.133,69.13,0.2571,2.9416,91.94,1,1,0,0,1.6471,-0.3382,1534,4.21,0.7174,0.9101,0.3023,1.136,4.0944,0.5192,0,hybrid_high_vol_low_qual
dev_293444,42,7,2,1,1,8,0.4634,1,0,JavaScript,Swift,0.1774,0.0001,0.0172,27.98,0.9989,1.3367,12.25,1,0,1,0,0.2426,0.5793,182,0.5,0.512,0.0,0.1513,0.4771,0.3182,0.1736,0,standard
dev_115640,208,106,18,1,1,3,0.368,1,1,Ruby,R,0.0097,0.1094,0.3724,59.59,0.5826,1.0,25.56,1,0,1,0,-0.0502,0.1401,1405,3.85,0.5057,0.092,0.291,0.6826,7.3062,0.2519,0,standard
dev_231279,4785,1472,9,27,24,7,1.5131,2,2,Ruby,"Go,Java",0.3408,0.0167,0.0469,45.55,0.1668,2.6947,23.5,1,0,1,0,1.187,0.5038,644,1.77,0.7846,0.6053,0.1434,1.7983,2.1702,0.3733,2,hybrid_high_vol_low_qual
dev_440143,1357,590,36,9,28,44,1.2305,3,2,R,"JavaScript,C++,Java",0.8244,0.7207,0.9619,44.31,0.0075,1.8951,50.09,1,1,0,1,1.7988,-0.4384,2272,6.23,0.8077,0.4922,1.1269,0.9501,10.0,0.5728,2,standard
dev_320896,9178,1045,250,14,18,32,1.9268,7,5,C++,"Scala,R,C++,Elixir,Ruby,TypeScript,Swift",0.7789,0.8766,0.9409,70.3,0.4671,2.5117,82.22,0,0,0,1,5.3507,0.399,2484,6.81,0.5971,1.2043,0.9394,0.9915,3.0911,0.6247,2,standard
dev_839313,933,190,14,28,10,11,1.8199,5,2,Ruby,"Elixir,Ruby,TypeScript,Scala,C++",0.2492,0.8093,0.4476,24.43,0.0488,2.6908,34.61,0,0,1,0,1.2976,-0.4337,1313,3.6,0.6058,0.728,0.7677,1.4283,2.8868,0.5027,1,boundary_1_2
dev_360776,1488,1272,43,46,31,27,1.924,3,2,TypeScript,"Swift,Kotlin,TypeScript",0.5227,0.5198,0.601,73.11,0.5629,2.0287,123.39,0,1,1,1,-0.6502,0.2735,1417,3.88,0.5785,0.7696,0.736,1.2938,10.0,0.4855,1,boundary_1_2
dev_310963,21082,11068,46,53,5,56,2.6072,5,6,Go,"PHP,R,JavaScript,Kotlin,Java",0.778,0.9188,0.8031,64.17,0.5036,1.8534,40.02,1,0,0,0,2.7226,-0.6585,2935,8.04,0.9429,1.7382,0.8372,1.0042,10.0,0.6805,2,standard
dev_445186,7165,1618,80,58,20,23,1.7936,3,4,Rust,"JavaScript,Swift,C++",0.2184,0.1172,0.1893,57.39,0.1025,2.259,65.78,1,0,1,0,3.8341,-0.0759,2642,7.24,0.9015,1.0249,0.1885,1.3574,6.5127,0.5111,2,hybrid_high_vol_low_qual
dev_491029,1256,179,289,47,12,62,1.2682,1,3,Java,Python,0.6978,0.7959,0.9193,43.33,0.3767,2.8636,25.74,1,0,1,0,4.9279,-0.448,1714,4.7,0.6719,0.6341,1.1103,0.9845,2.6377,0.5547,1,standard
dev_641624,1093,523,562,81,23,65,2.5837,5,2,Elixir,"PHP,Elixir,TypeScript,Swift,Ruby",0.9686,0.8428,0.9948,46.61,0.3541,2.143,67.8,1,0,0,1,2.5132,0.0378,2848,7.8,0.924,1.0335,1.3049,1.1068,10.0,0.6736,2,standard
dev_382424,2430,321,909,47,164,48,2.0338,5,3,Rust,"C,C++,JavaScript,Java,Go",0.7521,0.4787,0.7456,58.76,0.2543,2.3084,106.02,1,0,1,1,3.1254,-0.045,2679,7.34,0.8575,1.0169,0.8115,1.3693,3.8322,0.682,2,standard
dev_285873,312,45,40,12,11,28,1.1778,2,1,PHP,"Kotlin,Elixir",0.3518,0.1568,0.6436,47.03,0.0638,1.8431,8.65,1,1,1,0,0.4733,1.0003,1526,4.18,0.5492,0.2945,0.6181,0.9344,2.2905,0.3764,0,standard
dev_542185,1441,331,178,30,3,5,1.949,4,3,Ruby,"JavaScript,TypeScript,R,Elixir",0.7685,0.5794,0.7804,41.0,0.6337,1.7853,98.46,1,0,0,0,0.294,-0.1811,2045,5.6,0.9343,0.9745,0.9445,1.8122,5.0697,0.5267,2,standard
dev_394286,211,64,3,2,5,6,0.7467,1,2,JavaScript,Python,0.4281,0.8127,0.6311,34.58,0.3522,1.1139,51.29,1,1,1,0,-1.5308,-0.2029,1045,2.87,0.5229,0.2987,1.1781,1.0,3.2977,0.3366,0,standard
dev_993624,6838,2570,24,5,3,31,1.2164,2,1,Rust,"Go,C",0.1534,0.056,0.0231,52.94,0.3668,1.2591,45.09,1,1,0,1,1.5844,0.1612,1336,3.66,0.5317,0.3041,0.0844,0.6284,5.4913,0.4395,0,hybrid_high_vol_low_qual
dev_375107,765,17,75,29,8,21,1.8915,7,3,TypeScript,"PHP,Rust,Ruby,JavaScript,C,R,Go",0.5443,0.5105,0.6396,40.1,0.5063,2.859,111.83,1,1,1,0,4.0547,-0.2366,1581,4.33,0.8195,0.9457,0.8298,1.1601,0.3766,0.6126,2,boundary_1_2
dev_754462,2302,112,127,53,61,23,1.851,5,4,Go,"Java,Scala,JavaScript,C++,Swift",0.9218,0.7783,0.9858,69.18,0.3431,2.118,89.83,1,0,1,1,0.8525,-0.0761,2313,6.34,0.6127,1.0577,1.1268,1.4741,1.2203,0.6321,2,standard
dev_266002,84,17,17,3,3,21,1.6414,1,1,R,Ruby,0.1125,0.3069,0.0679,65.06,0.709,1.0,37.97,1,1,1,0,0.4126,0.1245,1006,2.76,0.1418,0.4104,0.3894,0.6206,1.9725,0.3917,0,standard
dev_701644,136,19,1,5,4,11,0.781,3,1,Scala,"Go,JavaScript,Ruby",0.138,0.1552,0.2516,36.82,0.923,1.3118,12.0,0,0,0,1,-0.4095,0.0973,1020,2.8,0.1552,0.1952,0.3565,0.8977,1.4433,0.2556,0,standard
dev_424224,99,33,2,5,47,10,0.787,6,2,Scala,"Ruby,Swift,C++,TypeScript,Kotlin,Scala",0.3708,0.3478,0.4128,65.03,0.6644,1.3062,52.09,1,1,0,0,2.5894,0.0167,1278,3.5,0.7045,0.3148,0.7953,1.5978,4.0909,0.4051,1,standard
dev_990600,1024,382,62,13,4,13,1.053,2,0,Python,"Scala,TypeScript",0.2308,0.038,0.0584,12.84,0.6719,1.4618,92.0,0,1,1,1,1.279,-0.2126,1176,3.22,0.4412,0.0,0.145,1.0673,4.7512,0.3918,0,hybrid_high_vol_low_qual
dev_273249,1498,434,165,55,139,49,1.9573,4,3,C++,"C,Python,JavaScript,TypeScript",0.8487,0.9555,0.9795,68.86,0.6439,2.1781,113.84,1,0,1,1,1.0835,-0.781,2083,5.71,0.9493,0.9787,1.2555,1.3411,6.5148,0.6431,2,standard
dev_867755,903,229,186,63,38,106,2.1997,5,2,Python,"R,Rust,JavaScript,PHP,Scala",0.7261,0.7142,0.9627,86.02,0.5118,2.8396,32.61,0,0,1,0,6.0364,0.1901,2553,7.0,0.8857,0.8799,1.1471,0.9878,6.8844,0.625,2,standard
dev_142646,450,189,25,1,10,7,1.3542,3,2,Ruby,"Scala,Python,R",0.2063,0.5513,0.0579,51.98,0.0113,1.5442,55.7,1,1,1,0,-1.5223,0.0049,898,2.46,0.1901,0.5417,0.4826,1.1309,4.0469,0.3696,0,standard
dev_359541,1113,621,752,73,5,17,2.264,4,2,Kotlin,"Ruby,Java,R,Kotlin",0.4332,0.8243,0.8451,39.31,0.4252,1.3902,90.83,0,0,0,1,3.3571,0.4548,2625,7.19,0.8333,0.9056,1.0024,1.484,10.0,0.5577,2,standard
dev_262470,329,93,22,1,1,2,0.5845,3,2,Python,"JavaScript,Java,TypeScript",0.7925,0.3916,0.0361,38.12,0.6298,1.2942,54.18,0,0,1,0,2.7463,-0.0749,1313,3.6,0.3584,0.2338,0.6869,0.7925,3.8979,0.4088,0,standard
dev_191884,2733,126,125,88,36,17,2.2982,5,3,R,"Ruby,Python,Swift,JavaScript,Java",0.7566,0.8022,0.9071,56.91,0.4928,1.9102,62.03,1,0,0,1,3.9562,-0.0359,2661,7.29,0.4827,1.1491,1.0233,1.6398,1.3307,0.6466,2,standard
dev_380703,168,22,66,12,6,64,1.2556,1,2,JavaScript,PHP,0.4435,0.1257,0.4415,24.24,0.9517,1.4361,44.14,1,0,1,0,-1.7619,0.4074,1017,2.79,0.6473,0.5022,0.6038,0.7028,1.3689,0.3344,1,standard
dev_362731,151,28,6,1,1,2,0.4516,2,1,C,"PHP,C",0.4171,0.2811,0.1929,21.86,0.7703,1.0,27.49,1,0,0,1,1.4198,0.1619,1309,3.59,0.6736,0.1129,0.5766,0.7925,2.4297,0.3041,0,standard
dev_121457,6897,2813,184,198,131,11,2.0311,5,4,C,"C,C++,Scala,Elixir,JavaScript",0.2801,0.9591,0.6219,67.34,0.3128,3.3187,95.13,1,0,1,0,2.1864,-0.4063,1965,5.39,0.8016,1.1606,0.7319,2.2609,8.7587,0.6449,2,standard
dev_203756,1327,617,21,15,24,5,1.8303,3,3,PHP,"R,Ruby,Swift",0.2025,0.1473,0.4766,48.8,0.4458,1.3837,91.68,0,1,0,0,0.5711,0.334,1459,4.0,0.5106,0.9151,0.3602,1.8957,7.3473,0.4261,1,standard
dev_768547,108,64,21,4,2,17,0.7108,1,0,JavaScript,Ruby,0.4248,0.4755,0.7159,56.23,0.9748,1.6302,27.59,1,1,0,0,1.0918,-0.0328,2231,6.11,0.3932,0.0,1.1112,0.6609,10.0,0.4317,1,boundary_0_1
dev_646039,165,70,7,3,3,3,0.5771,1,1,Kotlin,Python,0.0218,0.2065,0.5182,13.4,0.2466,1.1432,12.93,0,1,0,0,0.2007,0.1424,723,1.98,0.2696,0.1443,0.4693,1.2091,3.2083,0.2284,0,standard
dev_683493,454,142,6,7,3,30,1.5529,3,2,Go,"TypeScript,R,Scala",0.5416,0.1863,0.2552,51.41,0.9968,2.3704,1.6,0,0,0,0,0.9582,-0.0197,1229,3.37,0.789,0.6211,0.5041,0.6919,4.0938,0.3839,1,standard
dev_626841,145,9,33,0,2,13,0.4,1,0,Rust,TypeScript,0.2694,0.0106,0.0318,27.68,0.9605,1.1665,3.06,0,0,1,0,1.2577,-0.0103,722,1.98,0.0446,0.0,0.1861,0.4057,0.4663,0.2505,0,standard
dev_847315,210,61,6,14,1,21,1.0931,4,2,Python,"R,C++,Rust,Kotlin",0.7145,0.3149,0.2981,42.69,0.6998,1.0,50.02,1,0,0,0,0.2133,0.3733,996,2.73,0.8303,0.4372,0.7883,0.8843,3.0152,0.3539,1,boundary_0_1
dev_391292,709,301,13,4,8,6,0.9327,3,1,Java,"PHP,Ruby,TypeScript",0.0612,0.3559,0.7964,17.6,0.5216,1.9942,41.15,0,0,0,1,-0.1196,0.1209,182,0.5,0.1004,0.2332,0.5996,1.2335,0.8467,0.3936,0,standard
dev_650857,529,179,16,27,321,72,1.489,4,2,Kotlin,"Rust,Elixir,Scala,Swift",0.5245,0.5557,0.6663,44.4,0.629,2.1151,89.8,1,0,1,0,3.3872,-0.4469,1939,5.31,0.9062,0.5956,0.9094,1.3604,6.9151,0.535,2,standard
dev_214030,147,101,43,21,36,7,1.0021,3,2,Java,"Elixir,Python,TypeScript",0.5488,0.6984,0.5892,70.92,0.4919,1.34,99.3,0,0,0,0,1.7062,0.1881,669,1.83,0.8633,0.4008,1.2178,1.848,4.8014,0.4502,1,standard
dev_136906,155,11,1,1,1,7,1.299,1,0,C,C++,0.2342,0.285,0.192,33.08,0.9411,1.5774,0.0,0,0,0,0,0.2394,0.2155,232,0.64,0.4956,0.0,0.4696,0.5,0.1777,0.2343,0,standard
dev_720844,989,127,41,10,62,76,2.3383,6,3,Swift,"Rust,R,Python,C,Elixir,Swift",0.4919,0.4564,0.906,52.83,0.6325,2.3627,86.1,0,1,1,1,5.0655,0.096,2650,7.26,0.6142,1.1691,0.8602,0.9848,3.623,0.6052,2,standard
dev_197185,2928,493,399,110,132,27,2.6106,5,5,Swift,"Rust,PHP,C++,Java,Kotlin",0.9014,0.7617,0.8625,25.04,0.0624,1.5081,88.37,0,0,1,1,-0.0536,-0.2416,2461,6.74,0.5729,1.6316,1.0317,1.6313,4.5004,0.6841,2,standard
dev_966916,1630,209,131,26,68,100,2.2706,4,2,Rust,"JavaScript,C,Rust,Go",0.8736,0.9403,0.6111,45.12,0.3066,1.8304,90.92,1,0,1,1,3.0083,-0.2753,2509,6.88,0.7182,0.9083,1.0958,0.9846,3.4681,0.698,2,standard
dev_705885,61,5,5,0,9,1,0.8818,1,2,C,TypeScript,0.2271,0.0608,0.1369,29.68,0.5776,1.96,42.71,0,1,0,0,-1.2946,-0.0837,182,0.5,0.2071,0.3527,0.3159,2.0959,0.1587,0.2048,0,standard
dev_112007,520,231,212,40,9,61,1.9429,7,4,Elixir,"Ruby,PHP,R,C++,Scala,TypeScript,Kotlin",0.4042,0.7104,0.6909,44.68,0.2037,1.3489,16.22,1,0,0,0,1.065,-0.1642,3081,8.44,0.6943,1.1102,0.964,0.9442,10.0,0.5458,1,standard
dev_289612,141,63,18,35,42,7,1.0071,5,2,C++,"Ruby,Kotlin,Scala,R,Swift",0.1861,0.5881,0.5963,36.3,0.5677,1.7497,37.36,0,0,1,1,0.987,-0.2697,1137,3.12,0.3692,0.4028,0.9296,1.9828,5.1161,0.4515,1,standard
dev_133973,1521,526,587,29,25,77,2.2216,6,5,Python,"Python,R,TypeScript,Ruby,Kotlin,JavaScript",0.5758,0.8265,0.9818,66.06,0.0618,1.6386,127.99,1,1,1,1,0.5139,-0.022,2459,6.74,0.9544,1.3885,1.0742,0.9171,9.1605,0.6961,1,standard
dev_139082,1089,255,12,10,4,6,0.365,2,1,Swift,"Swift,Rust",0.7531,0.238,0.4999,42.06,0.8081,1.2728,76.5,1,0,0,0,2.5235,0.0536,182,0.5,0.7154,0.0913,0.6641,1.3023,0.4675,0.3912,0,standard
dev_466786,45,12,3,10,5,4,0.413,3,1,JavaScript,"Python,Scala,TypeScript",0.4252,0.328,0.325,65.71,0.4612,1.4792,38.19,0,0,1,0,0.6754,0.1109,1132,3.1,0.8403,0.1033,0.9068,1.5474,2.5946,0.2722,0,standard
dev_787953,2281,521,291,93,21,95,1.6548,6,4,PHP,"PHP,JavaScript,Kotlin,Swift,C++,Java",0.5561,0.1511,0.0961,64.66,0.4965,1.5319,155.69,1,0,1,1,2.6953,-0.2529,2760,7.56,0.7961,0.9456,0.327,1.0372,6.8201,0.5792,2,hybrid_high_vol_low_qual
dev_550650,54,11,24,8,1,9,0.5269,3,0,Swift,"Scala,Ruby,Python",0.0532,0.0931,0.0138,13.18,0.9632,1.0,15.89,1,0,0,0,-1.6541,-0.1205,391,1.07,0.7427,0.0,0.1395,0.9603,0.8103,0.1817,1,standard
dev_182495,13,2,16,9,3,4,1.0322,3,0,Kotlin,"R,C++,Python",0.1366,0.0721,0.4745,35.55,0.9356,1.0,20.27,1,0,0,0,1.8819,-0.0529,296,0.81,0.3292,0.0,0.7744,1.4315,0.4002,0.3257,0,standard
dev_319863,3217,718,27,8,9,18,0.9725,1,2,Ruby,Python,0.5589,0.4142,0.3511,31.28,0.1046,2.3478,46.37,0,0,1,1,1.6912,-0.443,1445,3.96,0.7879,0.389,0.5365,0.9648,3.5181,0.4769,0,standard
dev_164664,77,40,1,3,7,6,0.2511,1,0,C,Python,0.084,0.0317,0.0169,9.09,0.8507,1.0,0.0,0,1,1,0,-1.8578,-0.0619,558,1.53,0.8085,0.0,0.0963,1.1531,2.9448,0.2533,0,standard
dev_201958,37,12,27,1,4,13,1.156,2,0,Ruby,"Ruby,TypeScript",0.7111,0.5629,0.6176,33.55,0.8829,1.0,28.55,0,0,0,0,1.0267,-0.2904,1018,2.79,0.3008,0.0,1.6689,0.6616,2.7805,0.3999,1,standard
dev_318429,86,20,2,21,2,5,0.1547,1,2,Python,C++,0.2337,0.273,0.2701,24.74,0.8223,1.1855,0.0,1,0,1,0,0.4521,0.6657,182,0.5,0.3643,0.0619,0.5702,1.6332,0.4545,0.256,0,standard
